R,neta,mot,rgo,hniv,hop,ratio,i
-1.0,-1.0815000569930393,SL,17.546000000001616,14,8,1.1320000000000239,EURUSD
2.0,1.8334691976243138,TP,8.5869999999999,20,2,1.2366071428572274,EURUSD
-1.0,-1.0783175420340634,SL,18.25900000000047,23,2,1.6225895316804786,EURUSD
2.0,1.9117991735027473,TP,16.213000000000477,23,14,1.0523138832997827,EURUSD
-1.0,-1.0857416956469659,SL,16.67799999999886,13,12,1.6452599388379168,EURUSD
2.0,1.9086553816671923,TP,15.654999999998864,13,14,1.4387464387464786,EURUSD
-1.0,-1.1930085031718065,SL,7.409000000000443,15,3,1.0042016806722964,EURUSD
2.0,1.8162189949877916,TP,7.781000000000038,13,16,1.072649572649574,EURUSD
-1.0,-1.1596160285746266,SL,8.958999999999495,13,3,1.5291005291004856,EURUSD
-1.0,-1.2329749103942662,SL,6.137999999999977,13,10,1.0,EURUSD
2.0,1.9383301707779903,TP,23.188000000000653,19,14,1.860696517412911,EURUSD
-1.0,-1.2014368220875749,SL,7.099000000001521,20,0,1.218085106382978,EURUSD
-1.0,-1.1250109275286329,SL,11.438999999999755,23,2,1.493927125506078,EURUSD
-1.0,-1.0937581956464792,SL,15.251999999998933,23,10,1.4302325581395918,EURUSD
-1.0,-1.0875313705086636,SL,16.336999999999602,19,14,1.2087155963302714,EURUSD
2.0,1.8932198327359517,TP,13.391999999998738,0,9,2.1280788177339556,EURUSD
-1.0,-1.1808981657178683,SL,7.905000000001383,0,7,2.179487179487009,EURUSD
-1.0,-1.4435483870965444,SL,3.22400000000167,23,2,1.0833333333331792,EURUSD
-1.0,-1.1075268817204305,SL,13.29899999999995,16,4,6.703125000000472,EURUSD
2.0,1.3410138248851988,TP,2.1700000000013375,23,6,1.296296296296601,EURUSD
-1.0,-1.134486974513309,SL,10.632999999999893,19,8,1.0457317073171026,EURUSD
-1.0,-1.134486974513309,SL,10.632999999999893,18,8,1.0457317073171026,EURUSD
-1.0,-1.134486974513309,SL,10.632999999999893,23,8,1.0457317073171026,EURUSD
-1.0,-1.2077884335949105,SL,6.881999999999167,2,13,1.0045248868778576,EURUSD
-1.0,-1.1794903978913054,SL,7.966999999999835,1,16,1.1843317972351046,EURUSD
2.0,1.8571856586437607,TP,10.012999999999828,2,2,2.883928571428605,EURUSD
2.0,1.8562958496633382,TP,9.950999999999155,23,3,1.4524886877828922,EURUSD
2.0,1.5988779803647608,TP,3.5650000000009285,23,5,1.8548387096771999,EURUSD
-1.0,-1.1647465437787845,SL,8.68000000000091,23,8,1.4893617021277072,EURUSD
2.0,1.8346629668169416,TP,8.648999999998352,9,14,1.4020100502513364,EURUSD
-1.0,-1.2847471127041603,SL,5.021999999998972,9,15,1.006211180124126,EURUSD
2.0,1.9421216659246352,TP,24.70699999999937,2,12,2.4078549848943247,EURUSD
2.0,1.8919694794893043,TP,13.236999999999277,17,2,1.6679687500000664,EURUSD
2.0,1.8919694794893043,TP,13.236999999999277,0,2,1.6679687500000664,EURUSD
-1.0,-1.0965042515859034,SL,14.818000000000886,14,12,1.4441087613293402,EURUSD
-1.0,-1.1867572156196722,SL,7.657000000000913,14,2,1.8854961832061974,EURUSD
-1.0,-1.084330954767944,SL,16.956999999999667,14,8,2.56807511737087,EURUSD
2.0,1.6985030571368578,TP,4.743000000000386,14,2,1.2644628099172674,EURUSD
-1.0,-1.168970814132089,SL,8.463000000000775,23,2,2.2561983471076625,EURUSD
2.0,1.6608159392788657,TP,4.215999999999109,23,3,2.1249999999997833,EURUSD
-1.0,-1.1532525988639801,SL,9.33100000000131,14,7,1.6270270270270102,EURUSD
-1.0,-1.1233396584440074,SL,11.594000000001436,23,10,1.8514851485148613,EURUSD
2.0,1.9018531228551847,TP,14.570000000000416,16,11,2.486772486772517,EURUSD
-1.0,-1.1402098244926024,SL,10.198999999999625,23,12,1.3212851405622004,EURUSD
-1.0,-1.1624261699227618,SL,8.804000000000034,8,4,1.2456140350877638,EURUSD
