instr,entrada,slf,rr,phi,n,nres,tp,sl,ctr,wr,wrr,base,z,perd,gana,Rbruto,Rneto,usd,pest,pdin,pes0,pdi0,dias
NASDAQ,C,0.5,1:1,0.5,1691,1265,107.84000000000015,107.84000000000015,5,0.47368421052631576,0.5035573122529644,0.5,0.2530447007019885,1078.4000000000015,1078.4000000000015,-0.026100437689846802,-0.04835563056818506,-52.14671200473083,0.332,0.25916666666666666,0.3575,0.2836666666666667,6.0
NASDAQ,C,0.5,1:1,1.0,1691,1265,107.84000000000015,107.84000000000015,9,0.47368421052631576,0.5035573122529644,0.5,0.2530447007019885,1941.1200000000026,1941.1200000000026,-0.026100437689846802,-0.04835563056818506,-93.8640816085155,0.2798333333333333,0.2385,0.31116666666666665,0.26266666666666666,5.0
NASDAQ,C,0.5,1:3,0.2,1691,1549,35.946666666666715,107.84000000000015,2,0.7025428740390302,0.7540348612007747,0.75,0.36673610861102185,431.3600000000006,143.78666666666686,-0.025153250305188224,-0.04740844318352648,-20.45010605164601,0.07816666666666666,0.069,0.16366666666666665,0.13383333333333333,74.0
NASDAQ,C,0.5,1:3,0.5,1691,1549,35.946666666666715,107.84000000000015,5,0.7025428740390302,0.7540348612007747,0.75,0.36673610861102185,1078.4000000000015,359.46666666666715,-0.025153250305188224,-0.04740844318352648,-51.125265129115014,0.25683333333333336,0.1865,0.3358333333333333,0.24666666666666667,16.0
NASDAQ,C,0.5,1:3,1.0,1691,1549,35.946666666666715,107.84000000000015,9,0.7025428740390302,0.7540348612007747,0.75,0.36673610861102185,1941.1200000000026,647.0400000000009,-0.025153250305188224,-0.04740844318352648,-92.02547723240696,0.3491666666666667,0.32566666666666666,0.4043333333333333,0.358,5.0
NASDAQ,C,0.5,1:10,0.2,1691,1645,10.784000000000015,107.84000000000015,2,0.8799526907155529,0.9045592705167174,0.9090909090909091,-0.6393385639800597,431.3600000000006,43.13600000000006,-0.01663321222320298,-0.03888840510154125,-16.774902424600857,0.0013333333333333333,0.0011666666666666668,0.021166666666666667,0.019166666666666665,151.0
NASDAQ,C,0.5,1:10,0.5,1691,1645,10.784000000000015,107.84000000000015,5,0.8799526907155529,0.9045592705167174,0.9090909090909091,-0.6393385639800597,1078.4000000000015,107.84000000000015,-0.01663321222320298,-0.03888840510154125,-41.93725606150213,0.06566666666666666,0.05,0.2315,0.181,52.0
NASDAQ,C,0.5,1:10,1.0,1691,1645,10.784000000000015,107.84000000000015,9,0.8799526907155529,0.9045592705167174,0.9090909090909091,-0.6393385639800597,1941.1200000000026,194.11200000000028,-0.01663321222320298,-0.03888840510154125,-75.48706091070385,0.18266666666666667,0.15583333333333332,0.3485,0.2855,21.0
NASDAQ,C,0.5,1:30,0.2,1691,1676,3.5946666666666713,107.84000000000015,2,0.9544648137196925,0.9630071599045346,0.967741935483871,-1.0970779153129198,431.3600000000006,14.378666666666685,-0.008500409964079341,-0.03075560284241758,-13.266736842105265,0.0,0.0,0.0,0.0,
NASDAQ,C,0.5,1:30,0.5,1691,1676,3.5946666666666713,107.84000000000015,5,0.9544648137196925,0.9630071599045346,0.967741935483871,-1.0970779153129198,1078.4000000000015,35.946666666666715,-0.008500409964079341,-0.03075560284241758,-33.16684210526317,0.0,0.0,0.1025,0.10283333333333333,
NASDAQ,C,0.5,1:30,1.0,1691,1676,3.5946666666666713,107.84000000000015,9,0.9544648137196925,0.9630071599045346,0.967741935483871,-1.0970779153129198,1941.1200000000026,64.70400000000008,-0.008500409964079341,-0.03075560284241758,-59.70031578947372,0.0018333333333333333,0.002,0.2891666666666667,0.2485,139.0
NASDAQ,C,1.0,1:1,0.2,1691,514,215.6800000000003,215.6800000000003,1,0.4630396215257244,0.5622568093385214,0.5,2.822918984903878,431.3600000000006,431.3600000000006,-0.015422271775694973,-0.026549868214864096,-11.452551153163792,0.2135,0.16566666666666666,0.27166666666666667,0.202,53.5
NASDAQ,C,1.0,1:1,0.5,1691,514,215.6800000000003,215.6800000000003,2,0.4630396215257244,0.5622568093385214,0.5,2.822918984903878,862.7200000000012,862.7200000000012,-0.015422271775694973,-0.026549868214864096,-22.905102306327585,0.31883333333333336,0.235,0.35133333333333333,0.27166666666666667,15.0
NASDAQ,C,1.0,1:1,1.0,1691,514,215.6800000000003,215.6800000000003,5,0.4630396215257244,0.5622568093385214,0.5,2.822918984903878,2156.800000000003,2156.800000000003,-0.015422271775694973,-0.026549868214864096,-57.26275576581896,0.25283333333333335,0.19683333333333333,0.26616666666666666,0.197,7.0
NASDAQ,C,1.0,1:3,0.2,1691,1110,71.89333333333343,215.6800000000003,1,0.6179775280898876,0.8558558558558559,0.75,8.144712170257238,431.3600000000006,143.78666666666686,-0.014040686613426067,-0.0251682830525952,-10.856590577567479,0.09483333333333334,0.08283333333333333,0.15416666666666667,0.147,103.0
