ses,min,lado,rgo,si,mot,R,neta,res
3,158,1,3.5,True,SL,-1.0,-1.4085714285714286,True
3,165,-1,2.4,True,TP,2.0,1.4041666666666668,True
3,169,-1,2.5,False,TP,2.0,1.428,True
3,173,-1,3.0,False,SL,-1.0,-1.4766666666666666,True
3,177,-1,5.6,True,SL,-1.0,-1.2553571428571428,True
3,180,1,2.6,False,cierre,1.54,0.9900000000000001,False
3,188,1,4.3,True,cierre,0.37,0.03744186046511627,False
3,194,1,3.4,False,cierre,0.12,-0.30058823529411766,False
4,12,-1,2.5,True,SL,-1.0,-1.572,True
4,23,1,3.4,True,TP,2.0,1.5794117647058823,True
4,27,1,4.2,True,SL,-1.0,-1.3404761904761904,True
4,31,1,3.9,False,SL,-1.0,-1.3666666666666667,True
4,35,1,1.7,False,SL,-1.0,-1.8411764705882354,True
4,44,1,4.1,True,SL,-1.0,-1.3487804878048781,True
4,54,-1,3.1,True,SL,-1.0,-1.461290322580645,True
4,59,-1,2.4,False,SL,-1.0,-1.5958333333333332,True
4,60,1,4.3,False,SL,-1.0,-1.3325581395348838,True
4,64,1,4.5,True,SL,-1.0,-1.3177777777777777,True
4,81,-1,3.1,False,TP,2.0,1.538709677419355,True
4,93,-1,7.7,True,TP,2.0,1.8142857142857143,True
4,99,1,4.5,False,SL,-1.0,-1.3177777777777777,True
4,103,1,4.9,True,SL,-1.0,-1.2918367346938775,True
4,105,-1,1.5,False,SL,-1.0,-1.9533333333333331,True
4,115,-1,13.0,True,cierre,-0.72,-0.83,False
4,119,-1,16.6,False,SL,-1.0,-1.086144578313253,True
4,123,-1,18.2,False,SL,-1.0,-1.0785714285714285,True
4,160,-1,4.5,True,SL,-1.0,-1.3177777777777777,True
4,172,-1,3.2,False,SL,-1.0,-1.446875,True
4,174,1,5.0,True,TP,2.0,1.714,True
4,182,1,8.9,True,cierre,0.45,0.2893258426966292,False
4,190,1,3.5,False,cierre,0.4,-0.008571428571428508,False
4,196,-1,3.2,False,SL,-1.0,-1.446875,True
4,204,1,4.2,True,cierre,0.1,-0.24047619047619043,False
5,1,-1,3.7,False,TP,2.0,1.6135135135135137,True
5,5,-1,10.0,True,TP,2.0,1.857,True
5,9,-1,13.7,False,TP,2.0,1.8956204379562043,True
5,20,1,4.6,True,SL,-1.0,-1.3108695652173914,True
5,34,1,7.2,False,SL,-1.0,-1.198611111111111,True
5,39,1,9.1,False,SL,-1.0,-1.157142857142857,True
5,43,1,9.7,True,SL,-1.0,-1.147422680412371,True
5,55,-1,4.3,False,SL,-1.0,-1.3325581395348838,True
