i,ts,lado,entrada,stop,objetivo,riesgo_u,rr,n_obj,tf_obj,tomas,R,motivo,R_neto,ins,coste_R
917,2020-02-25 03:59:00,-1,1.08628,1.08685,1.08414,5.700000000001815,3.75438596491075,1,4H,2,3.75438596491075,TP,3.543859649121343,EURUSD,0.21052631578940664
978,2020-02-27 16:59:00,1,1.28746,1.28633,1.29462,11.300000000000754,6.336283185840334,1,4H,3,-1.0,SL,-1.1327433628318495,GBPUSD,0.13274336283184954
997,2020-02-28 11:59:00,1,1.28829,1.28656,1.29462,17.300000000000093,3.6589595375723323,2,12H,3,-1.0,SL,-1.0867052023121382,GBPUSD,0.08670520231213827
1002,2020-02-28 16:59:00,1,1.27761,1.2752000000000001,1.29462,24.099999999998012,7.058091286307715,1,12H,2,-1.0,SL,-1.06224066390042,GBPUSD,0.06224066390042007
918,2020-03-01 23:59:00,1,8349.49,8220.79,8870.42,128.6999999999989,4.047630147630184,1,1D,1,4.047630147630184,TP,4.035975135975173,NAS100,0.011655011655011753
919,2020-03-02 06:59:00,1,2967.852,2958.9,3117.052,8.95199999999977,16.666666666667123,1,1D,2,-1.0,SL,-1.0670241286863287,SPX500,0.06702412868632879
925,2020-03-02 06:59:00,1,8499.8,8471.96,8870.42,27.840000000000146,13.31249999999996,1,1D,1,-1.0,SL,-1.0538793103448274,NAS100,0.053879310344827305
927,2020-03-02 08:59:00,-1,8595.41,8671.7,8221.79,76.29000000000087,4.89736531655518,1,4H,3,-1.0,SL,-1.0196618167518676,NAS100,0.019661816751867647
1037,2020-03-03 03:59:00,1,108.006,107.90299999999999,109.68,10.300000000000864,16.25242718446472,1,1D,1,-1.0,SL,-1.1262135922329992,USDJPY,0.12621359223299913
1044,2020-03-03 10:59:00,1,108.0,107.88499999999999,109.68,11.50000000000091,14.608695652172816,1,1D,1,-1.0,SL,-1.1130434782608607,USDJPY,0.11304347826086063
1051,2020-03-03 17:59:00,1,107.338,107.17999999999999,109.68,15.800000000000125,14.822784810126548,1,1D,1,-1.0,SL,-1.0822784810126576,USDJPY,0.08227848101265758
1053,2020-03-03 19:59:00,1,107.247,106.922,109.68,32.500000000000284,7.486153846153802,1,1D,1,-1.0,SL,-1.0399999999999996,USDJPY,0.039999999999999654
1056,2020-03-03 22:59:00,1,107.144,107.068,107.899,7.600000000000762,9.934210526314734,1,4H,2,-1.0,SL,-1.1710526315789302,USDJPY,0.17105263157893022
958,2020-03-04 01:59:00,-1,3016.849,3028.355,2891.255,11.505999999999858,10.91552233617257,1,1D,1,-1.0,SL,-1.0521467060664007,SPX500,0.05214670606640078
964,2020-03-04 01:59:00,-1,8641.26,8673.13,8221.79,31.86999999999898,13.16190775023573,1,1D,1,-1.0,SL,-1.0470662064637606,NAS100,0.04706620646376052
1060,2020-03-04 02:59:00,1,107.337,107.17999999999999,107.899,15.700000000001069,3.5796178343946456,1,4H,2,-1.0,SL,-1.082802547770695,USDJPY,0.082802547770695
1063,2020-03-04 05:59:00,1,107.398,107.32799999999999,107.899,7.000000000000739,7.15714285714217,1,4H,2,-1.0,SL,-1.1857142857142662,USDJPY,0.18571428571426613
963,2020-03-04 06:59:00,-1,3034.849,3044.2,2891.255,9.350999999999658,15.356004705379672,1,1D,1,-1.0,SL,-1.0641642605069,SPX500,0.06416426050690001
969,2020-03-04 06:59:00,-1,8696.45,8721.65,8221.79,25.19999999999891,18.835714285715095,1,1D,1,-1.0,SL,-1.0595238095238122,NAS100,0.0595238095238121
967,2020-03-04 10:59:00,-1,3055.355,3063.4,2891.255,8.045000000000073,20.39776258545661,1,1D,1,-1.0,SL,-1.0745804847731504,SPX500,0.07458048477315035
973,2020-03-04 10:59:00,-1,8755.43,8780.16,8221.79,24.729999999999563,21.578649413667968,1,1D,1,-1.0,SL,-1.0606550748079266,NAS100,0.060655074807926666
978,2020-03-04 15:59:00,-1,8719.65,8799.36,8221.79,79.71000000000095,6.2458913561660125,1,1D,1,-1.0,SL,-1.0188182160331198,NAS100,0.018818216033119835
972,2020-03-04 15:59:00,-1,3047.037,3073.355,2891.255,26.31800000000021,5.919218785621949,1,1D,1,-1.0,SL,-1.022798084960863,SPX500,0.022798084960863104
1082,2020-03-05 00:59:00,-1,1.2868,1.28756,1.27999,7.600000000000939,8.960526315788343,1,4H,1,-1.0,SL,-1.1973684210526072,GBPUSD,0.19736842105260718
987,2020-03-05 02:59:00,1,8852.02,8818.9,9002.02,33.1200000000008,4.528985507246268,1,12H,1,-1.0,SL,-1.0452898550724627,NAS100,0.04528985507246267
996,2020-03-05 11:59:00,1,8732.2,8705.13,9002.02,27.070000000001528,9.967491688215164,1,12H,1,-1.0,SL,-1.0554118950868088,NAS100,0.05541189508680884
1003,2020-03-05 18:59:00,1,8722.67,8657.3,9002.02,65.3700000000008,4.2733669879148986,1,12H,1,-1.0,SL,-1.022946305644791,NAS100,0.02294630564479091
1100,2020-03-05 18:59:00,1,106.446,106.21,108.536,23.60000000000042,8.855932203389687,1,1D,1,-1.0,SL,-1.0550847457627108,USDJPY,0.055084745762710885
1103,2020-03-05 21:59:00,1,106.149,105.958,108.536,19.10000000000025,12.49738219895272,1,1D,1,-1.0,SL,-1.06806282722513,USDJPY,0.06806282722513
1030,2020-03-08 23:59:00,1,8139.98,8101.68,8726.11,38.29999999999927,15.303655352480735,1,12H,1,-1.0,SL,-1.0391644908616195,NAS100,0.03916449086161954
1024,2020-03-08 23:59:00,1,2836.452,2819.837,3038.946,16.615000000000236,12.187421005115667,1,12H,1,-1.0,SL,-1.0361119470358104,SPX500,0.0361119470358105
1037,2020-03-09 17:59:00,1,8031.96,7953.14,8726.11,78.81999999999971,8.806774930220795,1,12H,1,-1.0,SL,-1.0190307028672927,NAS100,0.019030702867292637
1039,2020-03-09 21:59:00,1,8018.98,7818.38,8726.11,200.59999999999945,3.5250747756729957,1,12H,1,-1.0,SL,-1.0074775672981058,NAS100,0.007477567298105703
1044,2020-03-10 09:59:00,-1,2877.352,2883.952,2771.146,6.600000000000364,16.091818181817246,1,4H,1,16.091818181817246,TP,16.00090909090816,SPX500,0.09090909090908589
1222,2020-03-12 18:59:00,1,1.25975,1.25749,1.27474,22.599999999999287,6.632743362832094,1,4H,3,-1.0,SL,-1.0663716814159312,GBPUSD,0.06637168141593129
1222,2020-03-12 18:59:00,-1,105.328,105.507,103.512,17.900000000000205,10.145251396647943,1,4H,2,-1.0,SL,-1.0726256983240214,USDJPY,0.07262569832402152
1237,2020-03-13 09:59:00,-1,106.258,106.57600000000001,103.512,31.800000000001205,8.635220125785821,1,4H,2,-1.0,SL,-1.0408805031446526,USDJPY,0.04088050314465254
