par,tf,fecha,lado,ancho,obj,R,rr,coste,tp,N,fuera
GBPUSD,H12,2021-04-23 00:00:00,-1,1.5,ext150,-1.0,7.695652173912991,0.11594202898550324,0,-1.1159420289855033,False
GBPUSD,H12,2021-04-23 00:00:00,-1,2.0,opuesto,-1.0,3.4021739130434443,0.08695652173912742,0,-1.0869565217391275,False
GBPUSD,H12,2021-04-23 00:00:00,-1,2.0,medio,1.4782608695651964,1.4782608695651964,0.08695652173912742,1,1.391304347826069,False
GBPUSD,H12,2021-04-23 00:00:00,-1,2.0,ext150,-1.0,5.771739130434743,0.08695652173912742,0,-1.0869565217391275,False
GBPUSD,H12,2021-04-23 12:00:00,1,1.0,opuesto,0.5625000000000651,0.5625000000000651,0.041666666666668364,1,0.5208333333333967,False
GBPUSD,H12,2021-04-23 12:00:00,1,1.0,ext150,-0.22656249999999006,2.3203125000000875,0.041666666666668364,0,-0.2682291666666584,False
GBPUSD,H12,2021-04-23 12:00:00,1,1.25,opuesto,0.450000000000052,0.450000000000052,0.03333333333333469,1,0.4166666666667173,False
GBPUSD,H12,2021-04-23 12:00:00,1,1.25,ext150,-0.18124999999999206,1.8562500000000701,0.03333333333333469,0,-0.21458333333332674,False
GBPUSD,H12,2021-04-23 12:00:00,1,1.5,opuesto,0.37500000000004335,0.37500000000004335,0.02777777777777891,1,0.34722222222226445,False
GBPUSD,H12,2021-04-23 12:00:00,1,1.5,ext150,-0.15104166666666005,1.5468750000000584,0.02777777777777891,0,-0.17881944444443895,False
GBPUSD,H12,2021-04-23 12:00:00,1,2.0,opuesto,0.28125000000003253,0.28125000000003253,0.020833333333334182,1,0.2604166666666983,False
GBPUSD,H12,2021-04-23 12:00:00,1,2.0,ext150,-0.11328124999999503,1.1601562500000437,0.020833333333334182,0,-0.1341145833333292,False
GBPUSD,H12,2021-04-26 00:00:00,-1,1.0,opuesto,-0.1608040201005011,1.3618090452261693,0.04020100502512692,0,-0.201005025125628,False
GBPUSD,H12,2021-04-26 00:00:00,-1,1.0,medio,0.6457286432161471,0.6457286432161471,0.04020100502512692,1,0.6055276381910202,False
GBPUSD,H12,2021-04-26 00:00:00,-1,1.0,ext150,-0.1608040201005011,2.1482412060301783,0.04020100502512692,0,-0.201005025125628,False
GBPUSD,H12,2021-04-26 00:00:00,-1,1.25,opuesto,-0.12864321608040089,1.0894472361809355,0.03216080402010153,0,-0.16080402010050243,False
GBPUSD,H12,2021-04-26 00:00:00,-1,1.25,medio,0.5165829145729177,0.5165829145729177,0.03216080402010153,1,0.4844221105528162,False
GBPUSD,H12,2021-04-26 00:00:00,-1,1.25,ext150,-0.12864321608040089,1.7185929648241425,0.03216080402010153,0,-0.16080402010050243,False
GBPUSD,H12,2021-04-26 00:00:00,-1,1.5,opuesto,-0.10720268006700075,0.9078726968174462,0.02680067001675128,0,-0.13400335008375203,False
GBPUSD,H12,2021-04-26 00:00:00,-1,1.5,medio,0.43048576214409806,0.43048576214409806,0.02680067001675128,1,0.40368509212734677,False
GBPUSD,H12,2021-04-26 00:00:00,-1,1.5,ext150,-0.10720268006700075,1.4321608040201188,0.02680067001675128,0,-0.13400335008375203,False
GBPUSD,H12,2021-04-26 00:00:00,-1,2.0,opuesto,-0.08040201005025055,0.6809045226130847,0.02010050251256346,0,-0.100502512562814,False
GBPUSD,H12,2021-04-26 00:00:00,-1,2.0,medio,0.32286432160807355,0.32286432160807355,0.02010050251256346,1,0.3027638190955101,False
GBPUSD,H12,2021-04-26 00:00:00,-1,2.0,ext150,-0.08040201005025055,1.0741206030150892,0.02010050251256346,0,-0.100502512562814,False
GBPUSD,H12,2021-04-27 00:00:00,-1,1.0,opuesto,-1.0,3.8148148148150356,0.1481481481481523,0,-1.1481481481481524,False
GBPUSD,H12,2021-04-27 00:00:00,-1,1.0,medio,1.8518518518521108,1.8518518518521108,0.1481481481481523,1,1.7037037037039584,False
GBPUSD,H12,2021-04-27 00:00:00,-1,1.0,ext150,-1.0,5.88888888888898,0.1481481481481523,0,-1.1481481481481524,False
GBPUSD,H12,2021-04-27 00:00:00,-1,1.25,opuesto,-1.0,3.0518518518520286,0.11851851851852184,0,-1.1185185185185218,False
GBPUSD,H12,2021-04-27 00:00:00,-1,1.25,medio,1.4814814814816886,1.4814814814816886,0.11851851851852184,1,1.3629629629631668,False
GBPUSD,H12,2021-04-27 00:00:00,-1,1.25,ext150,-1.0,4.711111111111184,0.11851851851852184,0,-1.1185185185185218,False
GBPUSD,H12,2021-04-27 00:00:00,-1,1.5,opuesto,-1.0,2.543209876543357,0.0987654320987682,0,-1.098765432098768,False
GBPUSD,H12,2021-04-27 00:00:00,-1,1.5,medio,1.2345679012347406,1.2345679012347406,0.0987654320987682,1,1.1358024691359723,False
GBPUSD,H12,2021-04-27 00:00:00,-1,1.5,ext150,-1.0,3.925925925925987,0.0987654320987682,0,-1.098765432098768,False
GBPUSD,H12,2021-04-27 00:00:00,-1,2.0,opuesto,1.9074074074075178,1.9074074074075178,0.07407407407407615,1,1.8333333333334416,False
GBPUSD,H12,2021-04-27 00:00:00,-1,2.0,medio,0.9259259259260554,0.9259259259260554,0.07407407407407615,1,0.8518518518519792,False
GBPUSD,H12,2021-04-27 00:00:00,-1,2.0,ext150,-1.0,2.94444444444449,0.07407407407407615,0,-1.0740740740740762,False
GBPUSD,H12,2021-04-27 12:00:00,-1,1.0,opuesto,-1.0,2.0990566037733904,0.07547169811320321,0,-1.0754716981132033,False
GBPUSD,H12,2021-04-27 12:00:00,-1,1.0,medio,0.7004716981131478,0.7004716981131478,0.07547169811320321,1,0.6249999999999446,False
GBPUSD,H12,2021-04-27 12:00:00,-1,1.0,ext150,-1.0,4.195754716980937,0.07547169811320321,0,-1.0754716981132033,False
GBPUSD,H12,2021-04-27 12:00:00,-1,1.25,opuesto,-1.0,1.6792452830187121,0.060377358490562576,0,-1.0603773584905625,False
GBPUSD,H12,2021-04-27 12:00:00,-1,1.25,medio,0.5603773584905182,0.5603773584905182,0.060377358490562576,1,0.4999999999999556,False
GBPUSD,H12,2021-04-27 12:00:00,-1,1.25,ext150,-1.0,3.3566037735847494,0.060377358490562576,0,-1.0603773584905625,False
GBPUSD,H12,2021-04-27 12:00:00,-1,1.5,opuesto,-1.0,1.39937106918226,0.05031446540880215,0,-1.0503144654088021,False
GBPUSD,H12,2021-04-27 12:00:00,-1,1.5,medio,0.46698113207543185,0.46698113207543185,0.05031446540880215,1,0.4166666666666297,False
GBPUSD,H12,2021-04-27 12:00:00,-1,1.5,ext150,-1.0,2.7971698113206247,0.05031446540880215,0,-1.0503144654088021,False
GBPUSD,H12,2021-04-27 12:00:00,-1,2.0,opuesto,-1.0,1.0495283018866952,0.03773584905660161,0,-1.0377358490566015,False
GBPUSD,H12,2021-04-27 12:00:00,-1,2.0,medio,0.3502358490565739,0.3502358490565739,0.03773584905660161,1,0.3124999999999723,False
GBPUSD,H12,2021-04-27 12:00:00,-1,2.0,ext150,-1.0,2.0978773584904684,0.03773584905660161,0,-1.0377358490566015,False
GBPUSD,H12,2021-04-29 00:00:00,-1,1.0,opuesto,3.0214285714287126,3.0214285714287126,0.05714285714285891,1,2.964285714285854,False
GBPUSD,H12,2021-04-29 00:00:00,-1,1.0,medio,1.367857142857185,1.367857142857185,0.05714285714285891,1,1.3107142857143261,False
GBPUSD,H12,2021-04-29 00:00:00,-1,1.0,ext150,4.960714285714503,4.960714285714503,0.05714285714285891,1,4.903571428571644,False
GBPUSD,H12,2021-04-29 00:00:00,-1,1.25,opuesto,2.41714285714297,2.41714285714297,0.04571428571428713,1,2.371428571428683,False
GBPUSD,H12,2021-04-29 00:00:00,-1,1.25,medio,1.094285714285748,1.094285714285748,0.04571428571428713,1,1.048571428571461,False
GBPUSD,H12,2021-04-29 00:00:00,-1,1.25,ext150,3.9685714285716025,3.9685714285716025,0.04571428571428713,1,3.9228571428573153,False
GBPUSD,H12,2021-04-29 00:00:00,-1,1.5,opuesto,2.0142857142858084,2.0142857142858084,0.03809523809523927,1,1.976190476190569,False
GBPUSD,H12,2021-04-29 00:00:00,-1,1.5,medio,0.9119047619047901,0.9119047619047901,0.03809523809523927,1,0.8738095238095508,False
GBPUSD,H12,2021-04-29 00:00:00,-1,1.5,ext150,3.307142857143002,3.307142857143002,0.03809523809523927,1,3.269047619047763,False
GBPUSD,H12,2021-04-29 00:00:00,-1,2.0,opuesto,1.5107142857143563,1.5107142857143563,0.028571428571429455,1,1.482142857142927,False
GBPUSD,H12,2021-04-29 00:00:00,-1,2.0,medio,0.6839285714285925,0.6839285714285925,0.028571428571429455,1,0.6553571428571631,False
GBPUSD,H12,2021-04-29 00:00:00,-1,2.0,ext150,2.4803571428572515,2.4803571428572515,0.028571428571429455,1,2.451785714285822,False
GBPUSD,H12,2021-05-03 00:00:00,1,1.0,opuesto,0.6060171919770723,0.6060171919770723,0.02292263610315191,1,0.5830945558739203,False
GBPUSD,H12,2021-05-03 00:00:00,1,1.0,ext150,0.30945558739254214,2.3767908309455468,0.02292263610315191,0,0.2865329512893902,False
GBPUSD,H12,2021-05-03 00:00:00,1,1.25,opuesto,0.4848137535816578,0.4848137535816578,0.018338108882521527,1,0.46647564469913627,False
GBPUSD,H12,2021-05-03 00:00:00,1,1.25,ext150,0.2475644699140337,1.9014326647564372,0.018338108882521527,0,0.22922636103151217,False
GBPUSD,H12,2021-05-03 00:00:00,1,1.5,opuesto,0.40401146131804816,0.40401146131804816,0.015281757402101272,1,0.3887297039159469,False
GBPUSD,H12,2021-05-03 00:00:00,1,1.5,ext150,0.2063037249283614,1.5845272206303644,0.015281757402101272,0,0.19102196752626013,False
GBPUSD,H12,2021-05-03 00:00:00,1,2.0,opuesto,0.30300859598853613,0.30300859598853613,0.011461318051575955,1,0.29154727793696017,False
