dia,ts,i,fin,lado,entrada,stop,obj,riesgo,exceso,mecha,cuerpo,visto,A,B,C
2020-10-22,2020-10-22 07:44:00,60496,60547,-1,1.18618,1.18678,1.1849800000000001,5.999999999999339,0.10000000000065512,1.9999999999997797,3.20000000000098,False,False,True,False
2020-11-02,2020-11-02 08:09:00,62501,62559,1,1.16312,1.16243,1.16487,6.899999999998574,3.60000000000138,4.900000000001015,4.899999999998794,False,False,False,True
2020-11-05,2020-11-05 07:34:00,63357,63422,-1,1.1739,1.17497,1.1717599999999997,10.700000000001264,0.700000000000145,4.60000000000127,8.900000000000574,False,True,True,True
2020-11-06,2020-11-06 08:14:00,63653,63710,-1,1.18378,1.18501,1.1813200000000004,12.299999999998423,2.4999999999986144,3.4000000000000696,11.299999999998533,True,False,False,True
2020-11-09,2020-11-09 07:19:00,63930,63998,-1,1.18902,1.18987,1.18732,8.500000000000174,0.9999999999998899,2.5999999999992696,7.0000000000014495,False,True,True,True
2020-11-26,2020-11-26 07:54:00,67674,67735,-1,1.19317,1.19419,1.19113,10.200000000000209,1.900000000001345,2.300000000001745,8.799999999999919,False,False,False,True
2020-12-03,2020-12-03 08:14:00,68887,68944,-1,1.21337,1.21389,1.2123300000000004,5.199999999998539,9.600000000000719,14.300000000000423,2.5999999999992696,False,False,False,False
2020-12-17,2020-12-17 07:59:00,71756,71816,-1,1.22331,1.22395,1.2220299999999995,6.40000000000196,1.9999999999997797,3.1000000000003247,4.300000000001525,False,False,False,True
2020-12-22,2020-12-22 07:09:00,72608,72678,1,1.22198,1.22133,1.22498,6.500000000000394,0.40000000000040004,2.20000000000109,4.60000000000127,False,True,True,True
2020-12-23,2020-12-23 07:29:00,72900,72966,-1,1.21912,1.21947,1.2184199999999998,3.5000000000007248,0.7999999999985796,1.9999999999997797,2.500000000000835,True,False,True,False
2020-12-31,2020-12-31 09:29:00,74466,74508,1,1.2284,1.22771,1.23092,6.899999999998574,1.7999999999984695,7.299999999998974,5.299999999999194,False,False,False,True
2021-01-05,2021-01-05 09:19:00,75040,75084,-1,1.22763,1.22783,1.22723,1.9999999999997797,0.10000000000065512,0.5999999999994898,0.5000000000010552,False,False,True,False
2021-01-06,2021-01-06 07:19:00,75304,75372,-1,1.23282,1.2335,1.23146,6.800000000000139,3.8000000000004697,8.399999999999519,2.5999999999992696,True,False,False,False
2021-01-13,2021-01-13 07:39:00,76746,76810,-1,1.22169,1.22237,1.22033,6.800000000000139,0.4999999999988347,2.5999999999992696,3.6999999999998145,False,False,True,False
2021-03-04,2021-03-04 08:34:00,87094,87147,1,1.20473,1.20397,1.20664,7.600000000000939,0.10000000000065512,2.80000000000058,4.00000000000178,False,True,True,True
2021-03-17,2021-03-17 07:14:00,89686,89755,1,1.18905,1.18859,1.1908,4.599999999999049,0.9999999999998899,4.900000000001015,2.6999999999999247,True,False,True,False
2021-03-23,2021-03-23 07:19:00,90837,90905,1,1.19041,1.18956,1.19407,8.500000000000174,2.80000000000058,6.00000000000156,4.500000000000615,False,False,False,True
2021-04-02,2021-04-02 08:49:00,93130,93168,-1,1.17839,1.17858,1.1780100000000002,1.8999999999991246,0.30000000000196536,2.60000000000149,0.5999999999994898,False,False,True,False
2021-04-12,2021-04-12 07:09:00,94832,94890,1,1.18856,1.18804,1.19035,5.20000000000076,1.6000000000016001,3.20000000000098,2.9999999999996696,False,False,True,False
2021-04-22,2021-04-22 06:24:00,97109,97176,1,1.20309,1.20289,1.20467,1.9999999999997797,0.20000000000131024,1.6000000000016001,0.40000000000040004,False,False,True,False
2021-04-28,2021-04-28 06:09:00,98256,98326,1,1.20739,1.20687,1.20911,5.199999999998539,0.10000000000065512,0.8999999999992347,3.4000000000000696,False,False,True,False
2021-05-03,2021-05-03 06:14:00,99119,99188,1,1.20172,1.2012,1.20354,5.199999999998539,1.2999999999996348,3.1999999999987594,2.2999999999995246,False,False,True,False
2021-05-25,2021-05-25 06:29:00,103698,103764,-1,1.22299,1.22391,1.22115,9.200000000000319,0.9999999999998899,6.800000000000139,3.1000000000003247,True,False,True,False
2021-06-07,2021-06-07 06:14:00,106040,106109,1,1.21596,1.21557,1.21726,3.8999999999989043,0.10000000000065512,2.20000000000109,3.1000000000003247,True,False,True,False
2021-06-08,2021-06-08 07:29:00,106343,106397,1,1.21692,1.21649,1.21941,4.299999999999304,7.300000000001194,11.900000000000244,2.8999999999990145,True,False,False,False
2021-07-02,2021-07-02 06:24:00,111499,111566,1,1.18416,1.1838,1.18503,3.60000000000138,1.2000000000012,2.300000000001745,2.60000000000149,True,False,True,False
2021-07-15,2021-07-15 06:14:00,114086,114155,-1,1.18422,1.18474,1.1831800000000003,5.199999999998539,1.5999999999993797,3.0999999999981043,2.6999999999999247,False,False,True,False
2021-07-22,2021-07-22 07:24:00,115536,115591,-1,1.17985,1.18028,1.1789900000000002,4.299999999999304,0.700000000000145,1.80000000000069,2.2999999999995246,True,False,True,False
2021-07-28,2021-07-28 06:44:00,116675,116738,1,1.18111,1.18073,1.18274,3.8000000000004697,2.2999999999995246,5.999999999999339,2.80000000000058,False,False,False,False
2021-08-02,2021-08-02 07:09:00,117543,117601,-1,1.18822,1.18881,1.1870400000000003,5.899999999998684,7.300000000001194,11.799999999999589,3.2999999999994145,True,False,False,False
2021-08-03,2021-08-03 07:54:00,117840,117889,-1,1.188,1.18837,1.18726,3.6999999999998145,0.10000000000065512,1.40000000000029,2.60000000000149,False,False,True,False
2021-08-10,2021-08-10 06:59:00,119261,119321,-1,1.17387,1.17437,1.17287,4.999999999999449,0.5999999999994898,1.0999999999983245,3.60000000000138,False,False,True,False
2021-08-24,2021-08-24 07:44:00,122137,122188,1,1.17379,1.1732,1.17485,5.899999999998684,0.6000000000017103,1.2000000000012,4.499999999998394,False,True,True,True
2021-09-01,2021-09-01 06:24:00,123836,123903,1,1.17977,1.17933,1.18116,4.3999999999999595,0.8000000000008001,1.6000000000016001,3.5000000000007248,False,False,True,False
