i,ts,lado,entrada,stop,objetivo,riesgo_u,rr,n_obj,tf_obj,tomas,R,motivo,R_neto,ins,coste_R
117834,2023-03-02 01:49:00,1,1.20046,1.19967,1.20736,7.900000000000684,8.734177215188998,1,4H,3,-1.0,SL,-1.1898734177215025,GBPUSD,0.18987341772150254
108033,2023-03-02 03:19:00,1,3937.272,3934.254,3991.977,3.018000000000029,18.12624254473141,1,12H,2,-1.0,SL,-1.1988071570576522,SPX500,0.19880715705765215
108035,2023-03-02 03:39:00,1,3936.011,3934.011,3991.977,2.0,27.982999999999947,1,12H,2,-1.0,SL,-1.3,SPX500,0.3
117891,2023-03-02 04:19:00,-1,136.38,136.432,134.054,5.19999999999925,44.73076923077556,1,1D,2,-1.0,SL,-1.250000000000036,USDJPY,0.2500000000000361
117894,2023-03-02 04:49:00,-1,136.436,136.49099999999999,134.054,5.49999999999784,43.30909090910801,1,1D,2,-1.0,SL,-1.2363636363637291,USDJPY,0.2363636363637292
108049,2023-03-02 05:59:00,1,3931.346,3928.837,3991.977,2.5090000000000146,24.16540454364269,1,12H,2,-1.0,SL,-1.2391390992427247,SPX500,0.23913909924272478
117903,2023-03-02 06:19:00,-1,136.648,136.727,134.054,7.900000000000773,32.835443037971395,1,1D,2,-1.0,SL,-1.1645569620253005,USDJPY,0.16455696202530035
117864,2023-03-02 06:49:00,-1,1.19876,1.19943,1.1922,6.699999999999484,9.791044776120337,1,1D,2,-1.0,SL,-1.2238805970149427,GBPUSD,0.22388059701494262
108060,2023-03-02 07:49:00,1,3926.156,3921.891,3991.977,4.264999999999873,15.432825322391999,1,12H,2,-1.0,SL,-1.1406799531066865,SPX500,0.1406799531066865
117871,2023-03-02 07:59:00,-1,1.19776,1.1984299999999999,1.1922,6.699999999999484,8.29850746268722,1,1D,2,-1.0,SL,-1.2238805970149427,GBPUSD,0.22388059701494262
108063,2023-03-02 08:19:00,1,3922.173,3918.911,3991.977,3.2619999999997162,21.399141630903177,1,12H,2,21.399141630903177,TP,21.21520539546478,SPX500,0.18393623543839735
108065,2023-03-02 08:39:00,1,3922.696,3920.431,3991.977,2.2649999999998727,30.58763796909662,1,12H,2,30.58763796909662,TP,30.32273730684495,SPX500,0.2649006622516705
