par,lado,R,neta,tam,prof,cierre,hora,rr
EURUSD,1,-1.0,-1.1172131147540985,1.055206149545781,0.26158940397353064,0.1423841059602408,8,2.1229508196722087
EURUSD,1,0.3333333333333333,0.2661971830985904,0.7777777777777948,0.19327731092432585,0.7016806722689185,8,0.3333333333333333
EURUSD,1,-1.0,-1.1036231884058019,0.81101759755169,0.4103773584905077,0.24056603773584018,20,1.1666666666668009
EURUSD,-1,0.28937728937732515,0.23699633699637085,1.0116591928251246,0.24822695035457865,0.719858156028349,12,0.28937728937732515
EURUSD,1,-1.0,-1.1625000000000014,0.5474596297755027,0.21582733812947227,0.41726618705037694,20,0.9204545454545282
EURUSD,1,0.43111111111105715,0.367555555555504,0.6270821085636091,1.0124999999999427,0.39375000000007027,0,0.43111111111105715
EURUSD,-1,0.9047619047623243,0.6777777777781644,0.26832198638372695,0.7910447761190814,0.14925373134322917,0,0.9047619047623243
EURUSD,-1,0.021558872305134976,-0.0021558872305201607,1.5282159130739141,0.4128440366972608,0.9701834862385399,12,0.021558872305134976
EURUSD,1,0.9156118143460003,0.8552742616033838,1.6032705296835985,0.006651884700659512,0.518847006651885,12,0.9156118143460003
EURUSD,-1,0.3556701030927003,0.2819587628865167,0.9674981103552043,0.027343750000006776,0.7304687500000447,8,0.3556701030927003
EURUSD,-1,-1.0,-1.0403954802259876,0.794608017027314,1.4017857142857657,0.17857142857140734,12,0.5197740112994386
EURUSD,-1,-1.0,-1.3177777777777344,0.7068366164542206,0.06010928961751617,0.18579234972677994,20,3.3111111111106397
EURUSD,1,0.4108910891089827,0.3400990099010588,0.7765540414411275,0.370192307692263,0.600961538461502,8,0.4108910891089827
EURUSD,-1,0.04929577464789833,-0.0010563380281588264,0.9735413839891903,0.038327526132343796,0.9512195121951144,16,0.04929577464789833
EURUSD,1,3.7333333333330767,3.5426666666664173,1.0312221231043102,0.2283737024221945,0.031141868512086,20,3.7333333333330767
EURUSD,-1,-1.0,-1.0817142857142792,0.7210692930003822,0.6487804878048701,0.20487804878051952,4,0.9314285714285083
EURUSD,1,0.8013245033111492,0.70662251655619,0.8074425136036343,0.18260869565221421,0.47391304347828267,4,0.8013245033111492
EURUSD,1,-1.0,-1.1958904109589317,0.7863187588152903,0.2017937219730062,0.125560538116608,20,2.671232876712866
EURUSD,1,-1.0,-1.0777173913043545,1.0404624277456844,0.552287581699325,0.04901960784309457,8,1.5815217391306742
EURUSD,1,-1.0,-1.1833333333333327,0.9095661265028712,0.07279693486595189,0.22605363984669277,12,2.58974358974375
EURUSD,-1,-1.0,-1.074093264248705,1.4065369078222447,0.0156657963446342,0.48825065274152435,12,1.0155440414507642
EURUSD,-1,-1.0,-1.0635555555555531,1.762495302517873,0.24946695095946111,0.23027718550110293,12,1.6044444444443353
EURUSD,-1,1.4255319148937544,1.324113475177436,1.1682785299806646,0.13245033112581223,0.33443708609269795,16,1.4255319148937544
EURUSD,1,-1.0,-1.1028776978417265,1.0444874274661275,0.16460905349792884,0.40740740740743786,4,1.0359712230214988
EURUSD,-1,0.6059322033898695,0.5453389830508844,0.6702960190541137,0.9238578680202576,0.2741116751268921,0,0.6059322033898695
EURUSD,1,1.5592105263155858,1.4651315789471764,1.1203117389187158,0.12753623188405033,0.3130434782609093,8,1.5592105263155858
EURUSD,-1,0.2812500000000036,0.24401041666666876,1.2939680745868198,0.07423580786021458,0.7641921397379993,12,0.2812500000000036
EURUSD,1,2.414893617021422,2.338829787234183,1.478587962962956,0.25636007827787394,0.11154598825831022,16,2.414893617021422
