R,neta,mot,rgo,hniv,izq,velas,pos,i
2.0,1.9117991735027473,TP,16.213000000000477,23,0,83,-4.60396039603985,EURUSD
-1.0,-1.0857416956469659,SL,16.67799999999886,13,43,18,-0.47700701480902935,EURUSD
2.0,1.9086553816671923,TP,15.654999999998864,13,0,21,-0.2969602494154196,EURUSD
-1.0,-1.1930085031718065,SL,7.409000000000443,15,5,51,0.7139403706688209,EURUSD
2.0,1.8162189949877916,TP,7.781000000000038,13,0,5,-0.0427074939564801,EURUSD
-1.0,-1.1596160285746266,SL,8.958999999999495,13,0,48,0.2808320950965741,EURUSD
-1.0,-1.2329749103942662,SL,6.137999999999977,13,13,4,0.12109955423477095,EURUSD
2.0,1.9383301707779903,TP,23.188000000000653,19,18,19,-0.170876671619611,EURUSD
-1.0,-1.2014368220875749,SL,7.099000000001521,20,0,19,0.5215366705471465,EURUSD
-1.0,-1.1250109275286329,SL,11.438999999999755,23,0,86,0.5596330275229171,EURUSD
-1.0,-1.0937581956464792,SL,15.251999999998933,23,0,62,-1.3944954128439602,EURUSD
-1.0,-1.0875313705086636,SL,16.336999999999602,19,0,23,2.0402384500745145,EURUSD
2.0,1.8932198327359517,TP,13.391999999998738,0,0,83,0.53921568627451,EURUSD
-1.0,-1.1808981657178683,SL,7.905000000001383,0,0,12,0.3513888888889041,EURUSD
-1.0,-1.4435483870965444,SL,3.22400000000167,23,0,2,-0.5508474576271712,EURUSD
-1.0,-1.1075268817204305,SL,13.29899999999995,16,0,63,-0.6355932203390293,EURUSD
2.0,1.3410138248851988,TP,2.1700000000013375,23,0,11,0.02542372881353859,EURUSD
-1.0,-1.134486974513309,SL,10.632999999999893,19,13,12,2.161016949152662,EURUSD
-1.0,-1.134486974513309,SL,10.632999999999893,18,13,12,2.161016949152662,EURUSD
-1.0,-1.134486974513309,SL,10.632999999999893,23,8,12,2.161016949152662,EURUSD
-1.0,-1.2077884335949105,SL,6.881999999999167,2,0,16,-0.5338983050846867,EURUSD
-1.0,-1.1794903978913054,SL,7.966999999999835,1,0,15,-3.076271186440804,EURUSD
2.0,1.8571856586437607,TP,10.012999999999828,2,0,86,0.402925531914895,EURUSD
2.0,1.8562958496633382,TP,9.950999999999155,23,0,74,0.5917553191489296,EURUSD
2.0,1.5988779803647608,TP,3.5650000000009285,23,19,20,0.7207446808510722,EURUSD
-1.0,-1.1647465437787845,SL,8.68000000000091,23,4,29,0.4813829787234156,EURUSD
2.0,1.8346629668169416,TP,8.648999999998352,9,28,24,1.0398936170212711,EURUSD
-1.0,-1.2847471127041603,SL,5.021999999998972,9,0,22,0.9042553191489314,EURUSD
2.0,1.9421216659246352,TP,24.70699999999937,2,25,67,0.01423487544482786,EURUSD
2.0,1.8919694794893043,TP,13.236999999999277,17,9,68,0.2204665161775842,EURUSD
2.0,1.8919694794893043,TP,13.236999999999277,0,0,68,0.2204665161775842,EURUSD
-1.0,-1.0965042515859034,SL,14.818000000000886,14,21,46,0.17381489841986683,EURUSD
-1.0,-1.1867572156196722,SL,7.657000000000913,14,1,61,0.4878306878306903,EURUSD
-1.0,-1.084330954767944,SL,16.956999999999667,14,5,62,0.3947089947089976,EURUSD
2.0,1.6985030571368578,TP,4.743000000000386,14,11,33,-0.20979020979036833,EURUSD
-1.0,-1.168970814132089,SL,8.463000000000775,23,0,73,-0.20979020979036833,EURUSD
2.0,1.6608159392788657,TP,4.215999999999109,23,0,13,0.05594405594396365,EURUSD
-1.0,-1.1532525988639801,SL,9.33100000000131,14,4,13,-0.5664335664336219,EURUSD
-1.0,-1.1233396584440074,SL,11.594000000001436,23,10,16,1.0839160839161783,EURUSD
2.0,1.9018531228551847,TP,14.570000000000416,16,18,57,1.321678321678451,EURUSD
-1.0,-1.1402098244926024,SL,10.198999999999625,23,0,37,0.006993006992898409,EURUSD
-1.0,-1.1624261699227618,SL,8.804000000000034,8,19,69,-0.18525179856112636,EURUSD
-1.0,-1.2651093807935447,SL,5.393999999998567,8,0,22,0.003597122302181833,EURUSD
-1.0,-1.1653370331830584,SL,8.648999999998352,23,0,13,0.847723704866575,EURUSD
2.0,1.82258064516126,TP,8.059999999998624,18,26,22,-0.014128728414430716,EURUSD
2.0,1.82258064516126,TP,8.059999999998624,15,26,22,-0.014128728414430716,EURUSD
-1.0,-1.2493461203137637,SL,5.735000000002266,12,5,19,-0.16169544740974703,EURUSD
-1.0,-1.1979786792192042,SL,7.222999999998425,12,0,57,0.1792682926829372,EURUSD
-1.0,-1.1979786792192042,SL,7.222999999998425,15,0,57,0.1792682926829372,EURUSD
-1.0,-1.4522454142946075,SL,3.1620000000009973,15,0,21,0.09878048780487547,EURUSD
-1.0,-1.072644145288289,SL,19.685000000000397,19,13,74,-0.08780487804878723,EURUSD
-1.0,-1.1173766724123666,SL,12.183000000001165,12,19,23,-0.1964679911699646,EURUSD
-1.0,-1.1310483870967925,SL,10.911999999998478,15,0,57,0.6357615894039919,EURUSD
-1.0,-1.530218761586871,SL,2.6970000000003935,23,0,5,0.9655172413798384,EURUSD
2.0,1.824604440083397,TP,8.152999999999633,16,0,37,9.000000000003062,EURUSD
2.0,1.812483608707069,TP,7.626000000000577,16,0,25,10.27586206896895,EURUSD
-1.0,-1.1867572156197264,SL,7.656999999998693,22,0,65,0.27755102040817436,EURUSD
-1.0,-1.318131256952175,SL,4.494999999999916,23,0,25,0.21632653061221624,EURUSD
-1.0,-1.4393241167435005,SL,3.254999999999786,23,11,16,0.21632653061221624,EURUSD
-1.0,-1.0897451989456526,SL,15.93399999999967,16,17,58,0.7938775510204132,EURUSD
-1.0,-1.1038942167974553,SL,13.763999999998333,12,22,45,1.3204081632653268,EURUSD
-1.0,-1.375032782585753,SL,3.8130000000013986,16,0,38,0.5235069885641805,EURUSD
-1.0,-1.1590656284760876,SL,8.989999999999831,12,17,31,0.7687420584498192,EURUSD
2.0,1.8606373647792653,TP,10.261000000000298,12,0,38,0.5832274459974675,EURUSD
-1.0,-1.2938154920896126,SL,4.866999999999511,12,0,26,0.7221374045801653,EURUSD
2.0,1.8562958496633704,TP,9.951000000001375,13,43,45,0.9725190839694553,EURUSD
2.0,1.8562958496633704,TP,9.951000000001375,20,12,45,0.9725190839694553,EURUSD
-1.0,-1.3034804753820002,SL,4.7120000000000495,2,28,5,-3.3725490196076637,EURUSD
-1.0,-1.1922043010752488,SL,7.440000000000779,2,0,28,-2.1078431372547355,EURUSD
-1.0,-1.1130613535736915,SL,12.647999999999548,20,0,6,0.037179487179475466,EURUSD
-1.0,-1.1130613535736915,SL,12.647999999999548,21,11,6,0.037179487179475466,EURUSD
2.0,1.8507151059609495,TP,9.57899999999956,15,67,15,-0.5807692307692637,EURUSD
2.0,1.5340501792114678,TP,3.0689999999999884,15,12,19,0.12499999999999722,EURUSD
2.0,1.9150478227291656,TP,16.833000000000542,11,0,68,-0.02300000000001743,EURUSD
2.0,1.799438990182318,TP,7.129999999999637,12,22,7,0.27140549273023395,EURUSD
2.0,1.8462365591397643,TP,9.299999999998754,12,0,5,-0.05654281098547288,EURUSD
-1.0,-1.2165682265636641,SL,6.603000000000581,2,47,63,1.130737134909623,EURUSD
-1.0,-1.2165682265636641,SL,6.603000000000581,23,0,63,1.130737134909623,EURUSD
-1.0,-1.1624261699227618,SL,8.804000000000034,2,0,51,1.0653685674548268,EURUSD
-1.0,-1.1837810050122084,SL,7.781000000000038,23,0,26,0.9332406119610811,EURUSD
-1.0,-1.2507012622721025,SL,5.703999999999709,11,9,11,0.8066759388038888,EURUSD
-1.0,-1.1406372934697186,SL,10.167999999999289,11,0,45,0.942976356050065,EURUSD
2.0,1.6478699827628358,TP,4.060999999999648,23,2,88,0.37355371900824585,EURUSD
-1.0,-1.2847471127041603,SL,5.021999999998972,2,5,60,1.7007874015746158,EURUSD
-1.0,-1.2847471127041603,SL,5.021999999998972,23,0,60,1.7007874015746158,EURUSD
-1.0,-1.2847471127041603,SL,5.021999999998972,23,0,60,1.7007874015746158,EURUSD
2.0,1.5767978691919322,TP,3.3789999999989107,2,0,3,1.3622047244093443,EURUSD
