tf,ema,fib,rr,n,R,z,fuente
240,200,0.382,1.0,4299,-0.3364482743939383,-23.038340878897806,real
240,200,0.382,2.0,4184,-0.3665496093379862,-18.929669926529918,real
240,200,0.382,3.0,4024,-0.43907173488181217,-19.494304026303716,real
240,200,0.5,1.0,4191,-0.26953996669178476,-17.827263487170026,real
240,200,0.5,2.0,4153,-0.32167315431831234,-16.112172737602336,real
240,200,0.5,3.0,4047,-0.351027357842767,-14.70830687786643,real
240,200,0.618,1.0,4079,-0.1917623219058339,-12.2705307767339,real
240,200,0.618,2.0,4048,-0.24343924519469104,-11.564228707617954,real
240,200,0.618,3.0,4026,-0.2751833120085486,-10.972086768537286,real
240,200,0.705,1.0,3983,-0.12559966709313078,-7.853572293443831,real
240,200,0.705,2.0,3976,-0.18815656092476332,-8.61997143938085,real
240,200,0.705,3.0,3959,-0.2176265303024864,-8.307873973496022,real
240,200,0.786,1.0,3881,-0.14209968849875143,-8.704967797750543,real
240,200,0.786,2.0,3876,-0.07283097891762258,-3.153751203967948,real
240,200,0.786,3.0,3875,-0.2305220884206213,-8.632939302781471,real
