fecha,d_open,d_high,d_low,d_close,asia_high,asia_low,londres_high,londres_low,ny_high,ny_low,asia_rango_p
2026-06-22,1.14587,1.14735,1.14189,1.14269,1.14735,1.14526,1.14634,1.14414,1.14618,1.14189,20.9
2026-06-23,1.1427,1.1439,1.13755,1.1383,1.14319,1.14186,1.1439,1.13842,1.14,1.13755,13.3
2026-06-24,1.1383,1.13835,1.13245,1.13568,1.13835,1.13611,1.13749,1.13369,1.13679,1.13245,22.4
2026-06-25,1.13574,1.13879,1.13333,1.13725,1.1371,1.13474,1.1374,1.13333,1.13879,1.13362,23.6
2026-06-26,1.13726,1.14338,1.1354,1.13827,1.13821,1.1354,1.1412,1.13713,1.14338,1.13808,28.1
2026-06-29,1.13809,1.14306,1.13808,1.14236,1.13951,1.13808,1.14149,1.13925,1.14306,1.14004,14.3
2026-06-30,1.14236,1.14366,1.13825,1.14206,1.14253,1.13825,1.14094,1.13834,1.14366,1.13885,42.8
2026-07-01,1.14205,1.14227,1.13617,1.13779,1.14227,1.14016,1.14093,1.13849,1.14118,1.13617,21.1
2026-07-02,1.13779,1.14727,1.13749,1.14334,1.13886,1.13749,1.1421,1.13853,1.14727,1.13953,13.7
2026-07-03,1.14335,1.14623,1.14204,1.14337,1.14548,1.14204,1.14623,1.14402,1.14527,1.14329,34.4
2026-07-06,1.14344,1.14453,1.14083,1.14448,1.1441,1.14228,1.14289,1.14096,1.14453,1.14083,18.2
2026-07-07,1.14448,1.14479,1.14015,1.1405,1.14479,1.14281,1.1439,1.14234,1.14421,1.14015,19.8
2026-07-08,1.14048,1.14315,1.1391,1.14176,1.14206,1.13983,1.14315,1.1393,1.14303,1.1391,22.3
2026-07-09,1.14176,1.14491,1.14159,1.14283,1.14337,1.14159,1.14491,1.1421,1.14459,1.14226,17.8
2026-07-10,1.14281,1.14606,1.14114,1.14122,1.14606,1.14281,1.14473,1.14264,1.14418,1.14114,32.5
2026-07-13,1.14034,1.14457,1.13752,1.13814,1.14089,1.13843,1.14457,1.13956,1.14333,1.13752,24.6
2026-07-14,1.13816,1.14623,1.1378,1.14194,1.13966,1.1378,1.14091,1.1384,1.14623,1.14038,18.6
2026-07-15,1.14205,1.14825,1.14059,1.1463,1.14431,1.14173,1.14437,1.141,1.14825,1.14059,25.8
2026-07-16,1.14631,1.14762,1.1431,1.14414,1.14745,1.146,1.14762,1.14566,1.14706,1.1431,14.5
2026-07-17,1.14425,1.14521,1.14243,1.14382,1.1448,1.14345,1.14521,1.14243,1.14443,1.14244,13.5
2026-07-20,1.1427,1.14495,1.14023,1.14099,1.1445,1.14237,1.14495,1.14272,1.143,1.14023,21.3
2026-07-21,1.14095,1.14286,1.13942,1.13997,1.14217,1.14087,1.14286,1.14163,1.14204,1.13942,13.0
2026-07-22,1.13996,1.14215,1.13979,1.14082,1.14099,1.13979,1.14181,1.14002,1.14215,1.14038,12.0
2026-07-23,1.14082,1.14356,1.13637,1.1374,1.14356,1.14058,1.14328,1.13833,1.13955,1.13637,29.8
2026-07-24,1.1375,1.14011,1.13648,1.13666,1.13876,1.1375,1.14011,1.13711,1.13908,1.13648,12.6
2026-07-27,1.13896,1.14181,1.13664,1.13701,1.14143,1.1388,1.14181,1.1385,1.13903,1.13664,26.3
2026-07-28,1.137,1.14052,1.13531,1.13893,1.13801,1.13616,1.13734,1.13531,1.14052,1.13605,18.5
2026-07-29,1.13894,1.14709,1.13744,1.14597,1.14036,1.13821,1.1401,1.13801,1.14709,1.13744,21.5
2026-07-30,1.14597,1.15369,1.14342,1.15248,1.14748,1.14477,1.14841,1.14342,1.15369,1.14693,27.1
2026-07-31,1.15248,1.15471,1.1455,1.15283,1.15312,1.15042,1.15261,1.14846,1.15471,1.1455,27.0
