lado,t,ent,stop,obj,rgoP,largo,gana,Rb,Rn,anio
compra,2024-11-08 05:15:00,1.07843,1.07765,1.07999,7.800000000000029,True,0,-1,-1.1833333333333327,2024
compra,2024-11-11 05:45:00,1.07174,1.07078,1.0736599999999996,9.599999999998499,True,0,-1,-1.1489583333333566,2024
venta,2024-11-13 11:15:00,1.06115,1.06298,1.05749,18.299999999999983,False,0,-1,-1.0781420765027323,2024
venta,2024-11-14 18:15:00,1.05467,1.05825,1.0475100000000002,35.799999999999166,False,0,-1,-1.0399441340782132,2024
compra,2024-11-25 09:45:00,1.04895,1.0449,1.0570500000000003,40.50000000000109,True,0,-1,-1.0353086419753077,2024
compra,2024-11-26 03:00:00,1.04674,1.04303,1.0541600000000002,37.10000000000102,True,1,2,1.96145552560647,2024
venta,2024-11-26 15:15:00,1.04869,1.05447,1.0371299999999997,57.800000000001184,False,0,-1,-1.0247404844290653,2024
compra,2024-11-29 19:30:00,1.05783,1.05414,1.06521,36.89999999999971,True,0,-1,-1.0387533875338757,2024
compra,2024-12-02 06:30:00,1.05315,1.05151,1.0564300000000002,16.40000000000086,True,0,-1,-1.087195121951215,2024
venta,2024-12-02 14:15:00,1.04937,1.05382,1.0404699999999998,44.50000000000065,False,0,-1,-1.0321348314606738,2024
venta,2024-12-02 22:45:00,1.04963,1.05158,1.0457300000000003,19.499999999998963,False,0,-1,-1.0733333333333372,2024
compra,2024-12-03 03:30:00,1.04924,1.04823,1.0512599999999999,10.099999999999554,True,0,-1,-1.141584158415848,2024
compra,2024-12-03 07:00:00,1.0495,1.04807,1.0523600000000002,14.300000000000423,True,1,2,1.900000000000003,2024
compra,2024-12-04 23:15:00,1.05138,1.05078,1.0525799999999998,5.999999999999339,True,1,2,1.7616666666666405,2024
venta,2024-12-09 19:15:00,1.05577,1.05944,1.0484300000000004,36.6999999999984,False,1,2,1.9610354223433226,2024
venta,2024-12-13 01:15:00,1.04671,1.04712,1.04589,4.100000000000215,False,0,-1,-1.3487804878048597,2024
compra,2024-12-17 23:30:00,1.04947,1.04851,1.0513899999999996,9.599999999998499,True,0,-1,-1.1489583333333566,2024
compra,2024-12-18 10:30:00,1.04985,1.04874,1.0520699999999998,11.099999999999444,True,0,-1,-1.1288288288288353,2024
compra,2024-12-18 14:45:00,1.04964,1.04825,1.05242,13.900000000000023,True,0,-1,-1.1028776978417265,2024
venta,2024-12-20 06:00:00,1.035,1.03656,1.03188,15.600000000000058,False,0,-1,-1.0916666666666663,2024
