dia,ts,i,fin,lado,rama,entrada,stop,obj,riesgo,R,motivo,rr,coste_R,neto
2024-01-05,2024-01-05 08:09:00,289424,289482,1,mínimo,1.0924,1.09192,1.09558,4.8000000000003595,-1.0,SL,6.624999999999422,0.24999999999998126,-1.2499999999999813
2024-01-08,2024-01-08 09:39:00,289729,289769,1,mínimo,1.09291,1.09216,1.0953,7.500000000000284,2.0533333333330885,cierre Londres,3.1866666666664023,0.15999999999999392,1.8933333333330946
2024-01-09,2024-01-09 08:24:00,290002,290057,1,mínimo,1.09429,1.09379,1.09663,4.999999999999449,-1.0,SL,4.680000000000533,0.24000000000002641,-1.2400000000000264
2024-01-10,2024-01-10 07:54:00,290284,290345,-1,máximo,1.09375,1.09462,1.0920100000000001,8.699999999999264,-1.0,SL,2.0,0.13793103448277028,-1.1379310344827702
2024-01-11,2024-01-11 09:24:00,290590,290633,1,mínimo,1.09686,1.09645,1.09885,4.100000000000215,-1.0,SL,4.853658536585498,0.29268292682925295,-1.292682926829253
2024-01-12,2024-01-12 08:04:00,290862,290921,1,mínimo,1.0969,1.09652,1.09853,3.8000000000004697,-1.0,SL,4.28947368421005,0.3157894736841715,-1.3157894736841715
2024-01-15,2024-01-15 10:29:00,291179,291209,1,mínimo,1.09354,1.09325,1.09675,2.8999999999990145,6.344827586209273,cierre Londres,11.068965517244918,0.41379310344841647,5.9310344827608565
2024-01-16,2024-01-16 07:24:00,291418,291485,1,mínimo,1.09121,1.09089,1.0951,3.20000000000098,-1.0,SL,12.156249999996119,0.37499999999988515,-1.3749999999998852
2024-01-18,2024-01-18 12:54:00,292012,292013,1,mínimo,1.08789,1.08739,1.09067,4.999999999999449,-0.30000000000022203,cierre Londres,5.560000000000621,0.24000000000002641,-0.5400000000002485
2024-01-19,2024-01-19 08:39:00,292249,292301,1,mínimo,1.08728,1.08671,1.08896,5.699999999999594,2.9473684210526727,TP,2.9473684210526727,0.21052631578948866,2.736842105263184
2024-01-22,2024-01-22 08:59:00,292540,292588,1,mínimo,1.08917,1.0886,1.09094,5.699999999999594,-1.0,SL,3.1052631578950445,0.21052631578948866,-1.2105263157894885
2024-01-23,2024-01-23 07:19:00,292808,292876,-1,máximo,1.09134,1.09159,1.0908399999999998,2.500000000000835,2.0,TP,2.0,0.47999999999983967,1.5200000000001603
2024-01-24,2024-01-24 12:09:00,293154,293164,-1,máximo,1.08901,1.08963,1.08777,6.200000000000649,-1.0,SL,2.0,0.1935483870967539,-1.1935483870967538
2024-01-25,2024-01-25 07:34:00,293387,293452,-1,máximo,1.08858,1.08907,1.0876000000000003,4.899999999998794,-1.0,SL,2.0,0.24489795918373372,-1.2448979591837337
