slf,rr,phi,ctr,sl,tp,riesgo,premio,din_ajuste,din_fuera,est_ajuste,est_fuera,usd_ajuste,usd_fuera,dias
0.5,3.0,0.5,5,107.84000000000015,35.946666666666715,1078.4000000000015,359.46666666666715,0.27395,0.234,0.3687,0.33065,-15.515713821138165,-30.346016016015977,14.0
0.5,2.0,0.25,2,107.84000000000015,53.92000000000007,431.3600000000006,215.6800000000003,0.2735,0.1298,0.36425,0.16425,-1.168819512195106,-18.838192192192253,53.0
0.35,2.0,0.35,5,75.4880000000001,37.74400000000005,754.880000000001,377.4400000000005,0.27275,0.1956,0.37585,0.26625,-9.187219512195162,-34.86363363363359,19.0
0.35,1.5,0.25,3,75.4880000000001,50.3253333333334,452.92800000000057,301.9520000000004,0.2717,0.12545,0.39485,0.1803,-1.3653502439024723,-28.785072072072094,34.0
1.0,5.0,0.65,3,215.6800000000003,43.13600000000006,1294.0800000000017,258.8160000000004,0.2602,0.26235,0.367,0.3557,-12.599508292682744,-17.012261261261038,21.0
1.0,1.0,1.0,5,215.6800000000003,215.6800000000003,2156.800000000003,2156.800000000003,0.2579,0.23875,0.3354,0.3082,24.665209756097564,16.02624624624604,6.0
0.75,2.0,0.25,2,161.76000000000022,80.88000000000011,647.0400000000009,323.52000000000044,0.2551,0.26175,0.3606,0.36285,-5.825623414634053,-6.5699579579579686,29.0
0.75,2.0,0.35,2,161.76000000000022,80.88000000000011,647.0400000000009,323.52000000000044,0.25175,0.259,0.36405,0.3702,-5.825623414634053,-6.5699579579579686,29.0
0.5,5.0,0.5,5,107.84000000000015,21.56800000000003,1078.4000000000015,215.6800000000003,0.2484,0.1782,0.3373,0.2464,-15.959551219512171,-34.13010510510511,27.0
0.75,5.0,0.65,4,161.76000000000022,32.35200000000005,1294.0800000000017,258.8160000000004,0.2403,0.2537,0.3176,0.34555,-24.467332682926667,-20.965681681681545,19.0
0.75,3.0,0.35,2,161.76000000000022,53.92000000000007,647.0400000000009,215.6800000000003,0.23645,0.16055,0.3269,0.21195,-6.800124878048717,-21.435531531531527,41.0
1.0,3.0,0.25,1,215.6800000000003,71.89333333333343,431.3600000000006,143.78666666666686,0.23075,0.1607,0.2578,0.1886,-0.0004559349592761087,-6.21918618618615,91.0
0.75,3.0,0.25,2,161.76000000000022,53.92000000000007,647.0400000000009,215.6800000000003,0.2301,0.1536,0.32815,0.21465,-6.800124878048717,-21.435531531531527,40.0
