par,t,d,rr,R,neta,tp,p_D5,p_D10,p_D20,p_W3,p_W6,p_W12,bd,fuera
EURUSD,2020-06-09 12:00:00,1,1.5660146699266768,1.5660146699266768,1.531051344743302,1,1,1,1,0,0,0,1,False
EURUSD,2020-06-11 00:00:00,-1,1.5457809694793956,1.5457809694793956,1.520107719928228,1,-1,-1,-1,0,0,0,1,False
EURUSD,2020-06-12 00:00:00,-1,0.9891961970613716,0.2601555747623108,0.24779602420051317,0,-1,-1,-1,0,0,0,-1,False
EURUSD,2020-06-12 12:00:00,1,5.316109422492379,-1.0,-1.043465045592705,0,-1,-1,-1,0,0,0,-1,False
EURUSD,2020-06-16 12:00:00,-1,2.84576612903219,1.2036290322580525,1.1747983870967627,0,0,-1,-1,-1,-1,-1,1,False
EURUSD,2020-06-17 12:00:00,1,22.06451612903807,-1.0,-1.230645161290381,0,-1,-1,-1,-1,-1,-1,-1,False
EURUSD,2020-06-18 00:00:00,1,2.9700854700852752,-1.0,-1.0407407407407394,0,1,1,1,-1,-1,-1,-1,False
EURUSD,2020-06-18 12:00:00,-1,2.3025830258303572,2.3025830258303572,2.24981549815508,1,1,1,1,-1,-1,-1,-1,False
EURUSD,2020-06-20 00:00:00,-1,0.5229885057470927,-1.0,-1.0182630906768837,0,1,1,1,-1,-1,-1,-1,False
EURUSD,2020-06-26 00:00:00,1,3.6739130434780667,2.1956521739129506,2.1438405797100537,0,0,1,1,-1,-1,-1,-1,False
EURUSD,2020-06-26 12:00:00,-1,2.133217993079533,-1.0,-1.0494809688581306,0,0,1,1,-1,-1,-1,-1,False
EURUSD,2020-06-27 00:00:00,1,2.349315068493222,2.349315068493222,2.2840182648402516,1,0,1,1,-1,-1,-1,-1,False
EURUSD,2020-06-30 00:00:00,1,3.7335766423358003,-1.0,-1.0521897810218985,0,0,1,1,-1,-1,-1,1,False
EURUSD,2020-07-01 00:00:00,-1,2.9260563380282307,-1.0,-1.050352112676057,0,1,1,1,-1,-1,-1,-1,False
EURUSD,2020-07-01 12:00:00,1,5.656914893616682,1.9042553191487865,1.8281914893615567,0,1,1,1,-1,-1,-1,-1,False
EURUSD,2020-07-03 12:00:00,1,21.374999999996422,21.374999999996422,21.099999999996463,1,-1,-1,-1,-1,-1,-1,-1,False
EURUSD,2020-07-04 00:00:00,-1,8.33333333333347,-1.0,-1.2648148148148222,0,-1,-1,-1,-1,-1,-1,1,False
EURUSD,2020-07-07 00:00:00,-1,3.3444108761327564,0.8398791540785142,0.7966767371600871,0,-1,-1,-1,0,-1,-1,1,False
EURUSD,2020-07-08 12:00:00,1,2.1597744360902773,2.1597744360902773,2.1060150375940343,1,-1,-1,-1,0,-1,-1,-1,False
EURUSD,2020-07-09 12:00:00,-1,3.939501779359587,1.345195729537339,1.294306049822036,0,-1,-1,-1,0,-1,-1,1,False
EURUSD,2020-07-10 12:00:00,1,3.261904761904787,1.8571428571429074,1.8117460317460818,0,-1,-1,-1,0,-1,-1,-1,False
EURUSD,2020-07-11 00:00:00,-1,2.6731517509725453,-1.0,-1.0556420233462995,0,-1,-1,-1,0,-1,-1,1,False
EURUSD,2020-07-16 00:00:00,-1,2.411931818181871,-0.10795454545455979,-0.14857954545456017,0,0,-1,-1,0,-1,-1,1,False
EURUSD,2020-07-16 12:00:00,1,2.1747851002865968,-1.0,-1.0409742120343841,0,0,-1,-1,0,-1,-1,1,False
