par,dia,asia,ses_alto,ses_bajo
EURUSD,2021-07-29,19.299999999999873,LONDRES,NY
EURUSD,2021-08-01,25.299999999999212,LONDRES,ASIA
EURUSD,2021-08-02,14.299999999998203,LONDRES,NY
EURUSD,2021-08-03,18.900000000001693,NY,NY
EURUSD,2021-08-04,9.399999999999409,NY,LONDRES
EURUSD,2021-08-05,15.799999999999148,ASIA,NY
EURUSD,2021-08-08,24.399999999999977,NY,NY
EURUSD,2021-08-09,10.699999999999044,ASIA,NY
EURUSD,2021-08-10,18.199999999999328,NY,LONDRES
EURUSD,2021-08-11,11.199999999997878,LONDRES,NY
EURUSD,2021-08-12,10.499999999999954,NY,LONDRES
EURUSD,2021-08-15,18.20000000000155,ASIA,LONDRES
EURUSD,2021-08-16,20.299999999999763,LONDRES,NY
EURUSD,2021-08-17,18.000000000000238,LONDRES,NY
EURUSD,2021-08-18,49.20000000000035,ASIA,ASIA
EURUSD,2021-08-19,14.099999999999113,NY,NY
EURUSD,2021-08-22,30.700000000001282,NY,ASIA
EURUSD,2021-08-23,13.199999999999878,NY,LONDRES
EURUSD,2021-08-24,25.300000000001432,NY,NY
EURUSD,2021-08-25,17.199999999999438,LONDRES,NY
EURUSD,2021-08-26,27.900000000000702,NY,NY
EURUSD,2021-08-29,16.300000000000203,ASIA,NY
EURUSD,2021-08-30,36.200000000001786,LONDRES,ASIA
EURUSD,2021-08-31,18.100000000000893,NY,ASIA
EURUSD,2021-09-01,12.300000000000644,NY,ASIA
EURUSD,2021-09-02,11.200000000000099,NY,NY
EURUSD,2021-09-05,21.400000000000308,ASIA,LONDRES
EURUSD,2021-09-06,22.299999999999542,ASIA,NY
EURUSD,2021-09-07,22.700000000002163,ASIA,NY
EURUSD,2021-09-08,14.000000000000679,NY,NY
EURUSD,2021-09-09,15.100000000001224,LONDRES,NY
EURUSD,2021-09-12,33.90000000000004,NY,LONDRES
EURUSD,2021-09-13,13.400000000001189,NY,LONDRES
EURUSD,2021-09-14,12.799999999999478,LONDRES,ASIA
EURUSD,2021-09-15,29.50000000000008,ASIA,NY
EURUSD,2021-09-16,16.100000000001113,NY,NY
EURUSD,2021-09-19,19.899999999999363,NY,LONDRES
EURUSD,2021-09-20,16.700000000000603,NY,NY
EURUSD,2021-09-21,14.000000000000679,NY,ASIA
EURUSD,2021-09-22,33.90000000000004,NY,ASIA
EURUSD,2021-09-23,16.599999999999948,ASIA,NY
EURUSD,2021-09-26,14.400000000001079,ASIA,LONDRES
EURUSD,2021-09-27,28.900000000000592,ASIA,NY
EURUSD,2021-09-28,14.199999999999768,ASIA,NY
EURUSD,2021-09-29,13.600000000000279,LONDRES,NY
EURUSD,2021-09-30,26.100000000000012,NY,ASIA
EURUSD,2021-10-03,25.999999999999357,NY,ASIA
EURUSD,2021-10-04,29.799999999999827,ASIA,NY
EURUSD,2021-10-05,23.299999999999432,ASIA,LONDRES
EURUSD,2021-10-06,20.700000000000163,LONDRES,NY
EURUSD,2021-10-07,18.699999999998163,NY,ASIA
EURUSD,2021-10-10,23.100000000000342,ASIA,LONDRES
EURUSD,2021-10-11,23.200000000000998,ASIA,NY
EURUSD,2021-10-12,25.699999999999612,NY,ASIA
EURUSD,2021-10-13,14.400000000001079,LONDRES,NY
EURUSD,2021-10-14,26.400000000001977,LONDRES,ASIA
EURUSD,2021-10-17,29.50000000000008,NY,ASIA
EURUSD,2021-10-18,49.099999999999696,LONDRES,ASIA
EURUSD,2021-10-19,24.399999999999977,NY,LONDRES
EURUSD,2021-10-20,22.100000000000453,ASIA,NY
EURUSD,2021-10-21,17.100000000001003,NY,ASIA
