slf,rr,phi,ctr,sl,tp,riesgo,premio,din_ajuste,din_fuera,est_ajuste,est_fuera,usd_ajuste,usd_fuera,dias
1.0,5.0,0.35,3,45.91150000000016,9.182300000000032,688.6725000000024,137.73450000000048,0.16685,0.0681,0.2098,0.0819,-9.433726608186953,-26.320182432432276,65.0
0.5,1.5,0.25,4,22.95575000000008,15.303833333333387,459.1150000000016,306.07666666666773,0.15845,0.1691,0.21875,0.23325,-18.76514457439894,-18.37661661661658,37.0
0.75,3.0,0.25,3,34.43362500000012,11.47787500000004,516.5043750000018,172.1681250000006,0.14875,0.10355,0.18055,0.139,-12.344850146198707,-18.796300675675596,62.0
0.35,2.0,0.35,9,16.069025000000057,8.034512500000028,723.1061250000026,361.5530625000013,0.14565,0.1343,0.19015,0.1729,-47.73538212719285,-54.507625844594614,22.0
0.5,5.0,0.5,9,22.95575000000008,4.591150000000016,1033.0087500000036,206.6017500000007,0.14055,0.09255,0.1821,0.12435,-40.233953947368505,-57.94555743243249,29.0
0.35,1.5,0.25,6,16.069025000000057,10.712683333333372,482.07075000000174,321.3805000000011,0.13785,0.10915,0.1852,0.155,-27.88909795321626,-36.63073873873875,31.0
0.75,5.0,0.5,6,34.43362500000012,6.886725000000024,1033.0087500000036,206.60175000000072,0.1373,0.15655,0.1872,0.21295,-36.248139619882984,-33.20429954954941,31.0
0.5,2.0,0.25,4,22.95575000000008,11.47787500000004,459.1150000000016,229.5575000000008,0.12845,0.12095,0.16625,0.15885,-19.388413742689977,-22.149192942942946,49.0
0.5,3.0,0.35,6,22.95575000000008,7.651916666666693,688.6725000000024,229.5575000000008,0.118,0.12255,0.1589,0.1603,-32.66595272904481,-34.6473761261261,34.0
1.0,3.0,0.25,2,45.91150000000016,15.303833333333387,459.1150000000016,153.03833333333387,0.1176,0.0949,0.13375,0.1176,-9.35227420402847,-13.292920420420282,85.0
0.35,3.0,0.35,9,16.069025000000057,5.356341666666686,723.1061250000026,241.03537500000087,0.10795,0.08805,0.14495,0.11635,-40.49904897660823,-48.91474831081085,31.0
0.75,5.0,0.35,4,34.43362500000012,6.886725000000024,688.6725000000024,137.73450000000048,0.08645,0.10445,0.10695,0.12985,-24.165426413255325,-22.136199699699617,62.0
0.35,2.0,0.25,6,16.069025000000057,8.034512500000028,482.07075000000174,241.03537500000087,0.0859,0.0797,0.1166,0.10145,-31.823588084795244,-36.33841722972975,41.0
1.0,5.0,0.25,2,45.91150000000016,9.182300000000032,459.1150000000016,91.82300000000032,0.08395,0.0231,0.08525,0.0243,-6.289151072124647,-17.5467882882882,110.0
0.5,5.0,0.35,6,22.95575000000008,4.591150000000016,688.6725000000024,137.73450000000048,0.0756,0.0451,0.0975,0.05355,-26.82263596491234,-38.630371621621656,55.0
0.5,3.0,0.25,4,22.95575000000008,7.651916666666693,459.1150000000016,153.03833333333387,0.06635,0.06435,0.07785,0.07985,-21.777301819363206,-23.09825075075073,68.0
0.35,3.0,0.25,6,16.069025000000057,5.356341666666686,482.07075000000174,160.69025000000056,0.06035,0.0432,0.06845,0.0507,-26.999365984405486,-32.609832207207226,62.5
0.35,5.0,0.35,9,16.069025000000057,3.2138050000000113,723.1061250000026,144.62122500000052,0.05475,0.03695,0.06385,0.04685,-35.91991754385965,-42.92678006756756,51.0
