slf,rr,riesgo,sl,tp,ajuste,fuera,f1,f2,R,dias
1.0,5.0,0.02,215.6800000000003,43.13600000000006,0.0102442,0.016596022499999998,0.07155,0.23195,-0.02612841652854616,71.0
1.0,1.5,0.01,215.6800000000003,143.78666666666686,0.0094740525,0.02041071,0.07905,0.2582,-0.01048125276611923,74.0
0.35,3.0,0.015,75.4880000000001,25.1626666666667,0.00905685,0.0028236575,0.02465,0.11455,-0.08505486463572504,64.0
0.5,5.0,0.02,107.84000000000015,21.56800000000003,0.00905343,0.003986999999999999,0.03,0.1329,-0.057613228027730896,65.5
0.75,5.0,0.02,161.76000000000022,32.35200000000005,0.008552544999999998,0.0149375175,0.06715,0.22245,-0.033510819796057044,67.0
0.25,1.5,0.01,53.92000000000007,35.946666666666715,0.008389875,0.0032085,0.0276,0.11625,-0.11286427376931812,59.5
0.25,5.0,0.03,53.92000000000007,10.784000000000015,0.0072567000000000005,0.00618156,0.0446,0.1386,-0.08325990122169638,52.0
0.35,2.0,0.01,75.4880000000001,37.74400000000005,0.00653022,0.0017930325000000001,0.01785,0.10045,-0.08327632687795875,71.0
0.75,1.0,0.0075,161.76000000000022,161.76000000000022,0.0060358799999999995,0.020988994999999996,0.0797,0.26335,-0.004031906535615832,74.0
0.5,1.5,0.0075,107.84000000000015,71.89333333333343,0.0056518424999999995,0.00316536,0.0242,0.1308,-0.0485698328150109,78.0
1.0,2.0,0.01,215.6800000000003,107.84000000000015,0.00502679,0.0076137,0.041,0.1857,-0.01725929610990814,80.0
0.75,2.0,0.01,161.76000000000022,80.88000000000011,0.00480654,0.009294995,0.0479,0.19405,-0.027463461235716434,76.0
0.35,5.0,0.02,75.4880000000001,15.09760000000002,0.004723965,0.0017605874999999998,0.01995,0.08825,-0.0701380853087084,70.0
0.35,1.5,0.0075,75.4880000000001,50.3253333333334,0.0041962325,0.00052603,0.0082,0.06415,-0.10064529477548759,75.0
0.25,3.0,0.015,53.92000000000007,17.973333333333358,0.0031950625,0.0022595175,0.02155,0.10485,-0.08357142379768481,66.0
1.0,1.0,0.0075,215.6800000000003,215.6800000000003,0.00232047,0.00820495,0.04225,0.1942,-0.005551629151406714,81.0
0.75,1.5,0.0075,161.76000000000022,107.84000000000015,0.0022394850000000003,0.005070600000000001,0.0313,0.162,-0.01799951843534934,83.0
0.25,2.0,0.01,53.92000000000007,26.960000000000036,0.00133725,0.0006919625,0.00985,0.07025,-0.10721962689692653,67.0
0.35,1.0,0.005,75.4880000000001,75.4880000000001,0.001270675,0.00047811749999999997,0.00735,0.06505,-0.07443441878716345,86.0
