ts,dir,entrada,rr,riesgo_pips,motivo,pips,R,bruto
2025-11-06 06:30:00,corto,1.15073,3.0,7.399999999999629,SL,-8.599999999999628,-1.1621621621621703,-0.9999999999999999
2025-11-06 09:45:00,corto,1.15134,3.0,11.299999999998533,SL,-12.499999999998533,-1.1061946902655004,-1.0
2025-11-07 08:00:00,largo,1.15382,3.0,9.799999999999809,TP,28.199999999999427,2.877551020408161,3.0
2025-11-10 13:30:00,corto,1.15695,3.0,9.300000000000974,TP,26.700000000002923,2.8709677419354973,3.0
2025-11-11 08:45:00,corto,1.15546,3.0,14.600000000000168,SL,-15.800000000000168,-1.0821917808219168,-1.0
2025-11-12 07:30:00,corto,1.15817,3.0,7.500000000000284,SL,-8.700000000000284,-1.159999999999994,-0.9999999999999999
2025-11-13 09:30:00,corto,1.16134,3.0,22.299999999999542,SL,-23.49999999999954,-1.0538116591928262,-1.0
2025-11-14 06:30:00,corto,1.16378,3.0,11.699999999998933,SL,-12.899999999998933,-1.1025641025641117,-1.0
2025-11-14 13:45:00,corto,1.16377,3.0,16.899999999999693,TP,49.499999999999076,2.9289940828402354,3.0
2025-11-17 15:45:00,largo,1.15974,3.0,16.599999999999948,SL,-17.799999999999947,-1.0722891566265063,-1.0
2025-11-18 15:45:00,corto,1.15819,3.0,26.699999999999502,TP,78.8999999999985,2.95505617977528,3.0
2025-11-20 13:30:00,largo,1.15287,3.0,28.399999999999537,SL,-29.599999999999536,-1.0422535211267612,-1.0
2025-11-24 09:15:00,corto,1.15262,3.0,9.200000000000319,SL,-10.400000000000318,-1.1304347826086911,-1.0
2025-11-24 15:45:00,largo,1.15289,3.0,13.199999999999878,SL,-14.399999999999878,-1.0909090909090917,-1.0
2025-11-25 13:30:00,corto,1.15464,3.0,16.899999999999693,SL,-18.099999999999692,-1.0710059171597646,-1.0
2025-11-26 06:30:00,corto,1.15888,3.0,8.00000000000134,TP,22.80000000000402,2.8500000000000254,3.0
2025-11-26 14:30:00,largo,1.1575,3.0,28.999999999999027,tiempo,5.799999999999229,0.1999999999999801,0.2413793103448091
2025-12-01 08:30:00,corto,1.16103,3.0,12.499999999999734,SL,-13.699999999999733,-1.096000000000002,-1.0
2025-12-02 09:45:00,largo,1.16099,3.0,8.500000000000174,SL,-9.700000000000173,-1.1411764705882324,-1.0
2025-12-02 13:15:00,corto,1.16135,3.0,6.899999999998574,SL,-8.099999999998573,-1.1739130434782967,-0.9999999999999999
2025-12-03 07:30:00,corto,1.16413,3.0,12.299999999998423,SL,-13.499999999998423,-1.0975609756097686,-1.0
2025-12-04 06:45:00,largo,1.16578,3.0,5.9000000000009045,TP,16.500000000002714,2.7966101694915566,3.0
2025-12-04 15:15:00,largo,1.16713,3.0,20.599999999999508,SL,-21.799999999999507,-1.0582524271844673,-1.0
2025-12-08 09:30:00,largo,1.16535,3.0,6.6000000000010495,SL,-7.80000000000105,-1.181818181818153,-1.0
2025-12-09 08:15:00,largo,1.16453,3.0,12.900000000000134,SL,-14.100000000000133,-1.0930232558139525,-1.0
