i_base,i_ent,k,alcista,entrada,objetivo,stop,nat,sim,rr,ts,riesgo_u,R,coste_R,R_neto,ins,coste,uni
250,251,1,True,1908.628,1909.058,1906.235,1.0,0.0,0.17969076473048828,2023-01-18 01:59:00,239.3000000000029,0.17969076473048828,0.14625992478060834,0.03343083994987994,XAUUSD,35.0,u
253,254,1,True,1899.475,1905.325,1897.228,0.0,1.0,2.6034712950603223,2023-01-18 04:59:00,224.69999999998436,-1.0,0.15576323987540025,-1.1557632398754003,XAUUSD,35.0,u
254,255,1,True,1897.845,1900.258,1896.495,1.0,1.0,1.7874074074072348,2023-01-18 05:59:00,135.00000000001364,1.7874074074072348,0.25925925925923304,1.5281481481480017,XAUUSD,35.0,u
161,162,1,False,4177.349,4167.039,4186.499,0.0,0.0,1.1267759562842414,2023-01-18 08:59:00,9.149999999999636,-1.0,0.21857923497268628,-1.2185792349726863,GRXEUR,2.0,p
258,259,1,False,1914.678,1907.675,1915.818,0.0,0.0,6.1429824561411746,2023-01-18 09:59:00,113.99999999998727,-1.0,0.30701754385968344,-1.3070175438596834,XAUUSD,35.0,u
163,164,1,False,4178.359,4172.339,4179.499,0.0,0.0,5.280701754389044,2023-01-18 10:58:00,1.139999999999418,-1.0,1.7543859649131766,-2.7543859649131766,GRXEUR,2.0,p
167,168,1,False,4188.369,4182.369,4196.499,1.0,1.0,0.7380073800737909,2023-01-18 14:59:00,8.13000000000011,0.7380073800737909,0.24600246002459694,0.49200492004919394,GRXEUR,2.0,p
263,264,1,False,1921.248,1916.105,1925.798,1.0,1.0,1.1303296703296881,2023-01-18 14:59:00,454.99999999999545,1.1303296703296881,0.07692307692307769,1.0534065934066104,XAUUSD,35.0,u
268,269,1,True,1904.968,1906.385,1903.045,0.0,1.0,0.7368694747789469,2023-01-18 19:59:00,192.30000000000018,-1.0,0.18200728029121147,-1.1820072802912114,XAUUSD,35.0,u
272,273,1,False,1905.028,1902.877,1909.455,1.0,0.0,0.4858820871922549,2023-01-19 00:59:00,442.6999999999907,0.4858820871922549,0.07906031172351645,0.40682177546873843,XAUUSD,35.0,u
276,277,1,False,1909.655,1906.595,1910.865,0.0,0.0,2.5289256198345895,2023-01-19 04:59:00,121.00000000000364,-1.0,0.28925619834709876,-1.2892561983470987,XAUUSD,35.0,u
277,278,1,True,1909.995,1910.865,1908.018,1.0,1.0,0.44006069802740466,2023-01-19 05:59:00,197.69999999998618,0.44006069802740466,0.17703591299950655,0.2630247850278981,XAUUSD,35.0,u
280,281,1,False,1912.525,1906.305,1916.665,0.0,1.0,1.502415458937251,2023-01-19 08:59:00,413.99999999998727,-1.0,0.08454106280193496,-1.084541062801935,XAUUSD,35.0,u
281,282,1,True,1910.285,1916.665,1909.515,0.0,1.0,8.285714285714327,2023-01-19 09:59:00,76.99999999999818,-1.0,0.4545454545454653,-1.4545454545454652,XAUUSD,35.0,u
283,284,1,True,1908.045,1910.535,1906.575,1.0,1.0,1.693877551020383,2023-01-19 11:59:00,147.00000000000273,1.693877551020383,0.23809523809523367,1.4557823129251493,XAUUSD,35.0,u
284,285,1,False,1907.958,1906.575,1911.285,0.0,0.0,0.41568981064022814,2023-01-19 12:59:00,332.6999999999998,-1.0,0.10519987977156603,-1.105199879771566,XAUUSD,35.0,u
180,181,1,True,4104.389,4107.499,4090.359,1.0,1.0,0.221667854597265,2023-01-19 13:59:00,14.0300000000002,0.221667854597265,0.142551674982179,0.07911617961508602,GRXEUR,2.0,p
182,183,1,True,4101.349,4114.499,4098.339,0.0,1.0,4.368770764119164,2023-01-19 15:59:00,3.0100000000002183,-1.0,0.6644518272424768,-1.6644518272424769,GRXEUR,2.0,p
287,288,1,False,1917.965,1912.698,1923.245,0.0,0.0,0.9975378787878508,2023-01-19 15:59:00,527.9999999999973,-1.0,0.06628787878787913,-1.0662878787878791,XAUUSD,35.0,u
289,290,1,False,1920.005,1917.535,1923.148,0.0,0.0,0.7858733693923586,2023-01-19 17:59:00,314.2999999999802,-1.0,0.11135857461025202,-1.1113585746102521,XAUUSD,35.0,u
294,295,1,False,1931.575,1931.058,1933.765,1.0,1.0,0.2360730593607488,2023-01-19 23:59:00,219.00000000000546,0.2360730593607488,0.15981735159816954,0.07625570776257926,XAUUSD,35.0,u
297,298,1,True,1929.605,1934.708,1929.248,0.0,0.0,14.294117647060173,2023-01-20 02:59:00,35.69999999999709,-1.0,0.980392156862825,-1.980392156862825,XAUUSD,35.0,u
301,302,1,False,1926.425,1923.038,1929.195,0.0,0.0,1.222743682310457,2023-01-20 06:59:00,276.9999999999982,-1.0,0.12635379061371924,-1.1263537906137193,XAUUSD,35.0,u
303,304,1,False,1928.485,1926.215,1937.435,1.0,1.0,0.2536312849161978,2023-01-20 08:59:00,895.0000000000045,0.2536312849161978,0.03910614525139645,0.21452513966480136,XAUUSD,35.0,u
307,308,1,True,1928.615,1931.198,1926.635,0.0,0.0,1.3045454545454849,2023-01-20 12:59:00,198.00000000000182,-1.0,0.17676767676767513,-1.1767676767676751,XAUUSD,35.0,u
309,310,1,True,1924.905,1929.425,1920.508,1.0,1.0,1.0279736183761767,2023-01-20 14:59:00,439.69999999999345,1.0279736183761767,0.07959972708665117,0.9483738912895255,XAUUSD,35.0,u
195,196,1,True,4110.389,4117.339,4103.339,1.0,1.0,0.9858156028368282,2023-01-20 14:59:00,7.050000000000182,0.9858156028368282,0.28368794326240404,0.7021276595744241,GRXEUR,2.0,p
197,198,1,False,4113.079,4108.349,4119.199,0.0,0.0,0.7728758169934065,2023-01-20 16:59:00,6.119999999999891,-1.0,0.32679738562092087,-1.326797385620921,GRXEUR,2.0,p
312,313,1,True,1925.095,1928.905,1922.685,1.0,1.0,1.580912863070463,2023-01-20 17:59:00,241.00000000000819,1.580912863070463,0.14522821576762993,1.435684647302833,XAUUSD,35.0,u
320,321,1,False,1931.688,1930.308,1935.445,1.0,1.0,0.3673143465531461,2023-01-23 02:59:00,375.69999999998345,0.3673143465531461,0.09315943571999345,0.27415491083315263,XAUUSD,35.0,u
202,203,1,True,4130.089,4139.199,4123.089,1.0,1.0,1.3014285714285247,2023-01-23 07:59:00,7.0,1.3014285714285247,0.2857142857142857,1.015714285714239,GRXEUR,2.0,p
208,209,1,False,4134.369,4126.369,4142.359,1.0,0.0,1.001251564455483,2023-01-23 13:59:00,7.990000000000691,1.001251564455483,0.25031289111387073,0.7509386733416121,GRXEUR,2.0,p
209,210,1,True,4133.499,4142.359,4126.339,1.0,1.0,1.2374301675978718,2023-01-23 14:59:00,7.1599999999998545,1.2374301675978718,0.2793296089385532,0.9581005586593186,GRXEUR,2.0,p
334,335,1,False,1922.115,1911.248,1926.178,0.0,0.0,2.6746246615800366,2023-01-23 16:59:00,406.3000000000102,-1.0,0.08614324390843987,-1.08614324390844,XAUUSD,35.0,u
335,336,1,True,1923.765,1926.178,1919.088,1.0,1.0,0.5159290143254097,2023-01-23 17:59:00,467.70000000001346,0.5159290143254097,0.07483429548855888,0.4410947188368508,XAUUSD,35.0,u
217,218,1,False,4155.379,4153.069,4166.379,1.0,1.0,0.2099999999999537,2023-01-24 08:59:00,11.0,0.2099999999999537,0.18181818181818182,0.028181818181771873,GRXEUR,2.0,p
