F,obj,mot,R,neta,rgo,lado,anio
0.618,1:2,TP,2.0,1.9204978235484158,6.289135999999871,-1,2020
0.705,nivel,TP,0.3203051634084002,0.22329238100418392,5.153959999999643,-1,2020
0.705,1:2,TP,2.0,1.9029872175957836,5.153959999999643,-1,2020
0.79,nivel,SL,-1.0,-1.0893822790693453,5.5939500000004045,-1,2020
0.79,1:2,SL,-1.0,-1.0893822790693453,5.5939500000004045,-1,2020
0.5,nivel,TP,0.7860415932323581,0.7126072141934651,6.808799999999792,-1,2020
0.5,1:2,SL,-1.0,-1.0734343790388932,6.808799999999792,-1,2020
0.618,nivel,TP,1.2232882903306637,1.1318762002407583,5.469736000000012,-1,2020
0.618,1:2,TP,2.0,1.9085879099100946,5.469736000000012,-1,2020
0.705,nivel,TP,0.1009133377654915,-0.01063255444548894,4.482459999999719,-1,2020
0.705,1:2,TP,2.0,1.8884541077890196,4.482459999999719,-1,2020
0.79,nivel,TP,0.40277667231405495,0.2606456161097451,3.5178799999998773,-1,2020
0.79,1:2,TP,2.0,1.8578689437956901,3.5178799999998773,-1,2020
0.5,nivel,SL,-1.0,-1.2480158730158077,2.016000000000531,-1,2020
0.5,1:2,SL,-1.0,-1.2480158730158077,2.016000000000531,-1,2020
0.618,nivel,TP,0.037961865244204564,-0.2707715866427374,1.6195200000001932,-1,2020
0.618,1:2,SL,-1.0,-1.308733451886942,1.6195200000001932,-1,2020
0.705,nivel,TP,0.2665762507536714,-0.11015672091595935,1.3272000000001754,-1,2020
0.705,1:2,SL,-1.0,-1.3767329716696308,1.3272000000001754,-1,2020
0.79,nivel,TP,0.6138632872501285,0.13383256528413995,1.0416000000004715,-1,2020
0.79,1:2,TP,2.0,1.5199692780340115,1.0416000000004715,-1,2020
0.5,nivel,TP,0.18065619967789764,-0.07095410628023063,1.9872000000000298,1,2020
0.5,1:2,TP,2.0,1.7483896940418717,1.9872000000000298,1,2020
0.618,nivel,TP,0.46969651412193825,0.15648866438151388,1.5963839999999436,1,2020
0.618,1:2,TP,2.0,1.6867921502595755,1.5963839999999436,1,2020
