dia,cierre_min,lado,ent,sl,tp,rgo,toque,arriba,R,mot,neta,examen
2023-09-20,485,1,1.06821,1.06729,1.0700500000000002,9.200000000000319,0,False,1.3152173913042298,cierre,1.1597826086955396,True
2023-09-21,675,-1,1.06623,1.06645,1.0657900000000002,2.1999999999988695,0,True,2.0,TP,1.3499999999996661,False
2023-09-21,680,-1,1.06594,1.06643,1.0649600000000004,4.899999999998794,1,True,0.16326530612265244,cierre,-0.1285714285712969,False
2023-09-22,560,-1,1.06265,1.06647,1.0550100000000002,38.19999999999934,1,True,-0.24607329842930814,cierre,-0.2835078534031308,False
2023-09-22,575,1,1.06473,1.06228,1.06963,24.500000000000632,1,False,-0.46530612244893443,cierre,-0.5236734693877084,False
2023-09-25,480,1,1.06439,1.06421,1.0647499999999996,1.7999999999984695,0,False,2.0,TP,1.2055555555548803,False
2023-09-26,520,1,1.0579,1.05777,1.05816,1.2999999999996348,0,False,-1.0,SL,-2.1000000000003087,False
2023-09-27,575,-1,1.05706,1.0574,1.0563800000000005,3.399999999997849,0,True,2.0,TP,1.5794117647056163,False
2023-09-28,565,-1,1.05143,1.05161,1.0510700000000004,1.7999999999984695,1,True,2.0,TP,1.2055555555548803,False
2023-10-02,675,1,1.05587,1.05546,1.0566900000000001,4.100000000000215,1,False,-1.0,SL,-1.3487804878048597,False
2023-10-03,590,-1,1.04807,1.04831,1.04759,2.4000000000001798,0,True,-1.0,SL,-1.5958333333332888,False
2023-10-04,515,1,1.04575,1.04543,1.0463899999999997,3.1999999999987594,1,False,-1.0,SL,-1.446875000000173,False
2023-10-04,580,-1,1.04739,1.04773,1.04671,3.4000000000000696,0,True,-1.0,SL,-1.420588235294109,False
2023-10-05,570,1,1.05057,1.05014,1.0514299999999999,4.299999999999304,0,False,2.0,TP,1.6674418604650625,False
2023-10-06,480,1,1.0535,1.05334,1.0538200000000004,1.6000000000016001,0,False,2.0,TP,1.106250000000894,False
2023-10-06,600,-1,1.05497,1.0551,1.05471,1.2999999999996348,0,True,-1.0,SL,-2.1000000000003087,False
2023-10-06,605,-1,1.05483,1.05522,1.0540499999999997,3.900000000001125,1,True,-1.0,SL,-1.366666666666561,False
2023-10-10,495,1,1.05596,1.05577,1.0563399999999998,1.8999999999991246,0,False,-1.0,SL,-1.7526315789477152,False
2023-10-10,615,-1,1.0582,1.05858,1.05744,3.8000000000004697,0,True,-1.0,SL,-1.3763157894736378,False
2023-10-10,620,-1,1.05761,1.05859,1.05565,9.799999999999809,1,True,-1.0,SL,-1.1459183673469415,False
2023-10-11,485,1,1.06013,1.05991,1.0605700000000002,2.20000000000109,1,False,2.0,TP,1.350000000000322,False
2023-10-11,530,-1,1.06125,1.06145,1.06085,1.9999999999997797,0,True,2.0,TP,1.2849999999999213,False
2023-10-11,540,-1,1.06102,1.06143,1.0602,4.100000000000215,1,True,-1.0,SL,-1.3487804878048597,False
2023-10-13,585,-1,1.05505,1.05519,1.05477,1.40000000000029,1,True,-1.0,SL,-2.02142857142836,False
2023-10-16,485,-1,1.05293,1.05319,1.0524099999999996,2.60000000000149,1,True,-1.0,SL,-1.5499999999996847,False
2023-10-18,485,-1,1.05843,1.05858,1.0581299999999998,1.500000000000945,0,True,-1.0,SL,-1.9533333333327327,False
2023-10-20,505,1,1.05685,1.05651,1.05753,3.4000000000000696,1,False,-1.0,SL,-1.420588235294109,False
2023-10-20,635,-1,1.05846,1.05873,1.05792,2.6999999999999247,1,True,-1.0,SL,-1.5296296296296443,False
2023-10-23,595,-1,1.05929,1.05953,1.05881,2.4000000000001798,0,True,-1.0,SL,-1.5958333333332888,False
2023-10-24,575,1,1.06679,1.06601,1.06835,7.800000000000029,0,False,-1.0,SL,-1.1833333333333327,False
2023-10-26,480,1,1.05427,1.05413,1.05455,1.40000000000029,0,False,-1.0,SL,-2.02142857142836,False
2023-10-27,545,1,1.05578,1.0552,1.05694,5.800000000000249,0,False,1.1379310344828906,cierre,0.8913793103449701,False
2023-10-27,590,1,1.05558,1.05523,1.05628,3.5000000000007248,1,False,2.0,TP,1.591428571428656,False
2023-10-31,480,-1,1.06212,1.06258,1.0611999999999997,4.60000000000127,0,True,-1.0,SL,-1.3108695652173055,False
2023-11-01,480,1,1.05646,1.0559,1.0575799999999997,5.599999999998939,0,False,-1.0,SL,-1.2553571428571912,False
2023-11-02,560,-1,1.0609,1.0612,1.0603,2.9999999999996696,0,True,-1.0,SL,-1.4766666666667192,False
2023-11-03,565,-1,1.06326,1.06365,1.0624800000000003,3.8999999999989043,1,True,-1.0,SL,-1.3666666666667697,False
2023-11-08,485,1,1.0684,1.06805,1.0691000000000002,3.5000000000007248,1,False,-1.0,SL,-1.408571428571344,False
2023-11-09,580,1,1.07042,1.06983,1.0715999999999997,5.899999999998684,1,False,-1.0,SL,-1.2423728813559862,True
