conf,ses,clave,lado,t,tent,ent,stop,rgo,obj,gano,rgoP,cpc,Rb,Rn
C1,londres,lo,1,2020-01-20 10:55:00,2020-01-20 09:55:00,1.10896,1.10886,9.999999999998899e-05,1.10916,0,0.9999999999998899,143.00000000001575,-1.0,-2.4300000000001574
C1,londres,hi,-1,2020-01-21 11:00:00,2020-01-21 10:00:00,1.10967,1.11002,0.0003500000000000725,1.1089699999999998,0,3.5000000000007248,40.8571428571344,-1.0,-1.408571428571344
C1,londres,lo,1,2020-01-21 09:15:00,2020-01-21 08:15:00,1.10893,1.10864,0.00028999999999990145,1.1095099999999998,0,2.8999999999990145,49.31034482760296,-1.0,-1.4931034482760297
C2,londres,lo,1,2020-01-21 09:35:00,2020-01-21 08:35:00,1.109,1.10864,0.00035999999999991594,1.1097199999999998,0,3.5999999999991594,39.722222222231494,-1.0,-1.397222222222315
C1,londres,lo,1,2020-01-21 09:25:00,2020-01-21 08:25:00,1.10896,1.1087,0.00025999999999992696,1.1094799999999998,0,2.5999999999992696,55.000000000015454,-1.0,-1.5500000000001544
C2,londres,lo,1,2020-01-21 09:35:00,2020-01-21 08:35:00,1.10897,1.1087,0.00026999999999999247,1.10951,0,2.6999999999999247,52.96296296296444,-1.0,-1.5296296296296443
C1,londres,lo,1,2020-01-21 09:35:00,2020-01-21 08:35:00,1.10891,1.10864,0.00026999999999999247,1.10945,1,2.6999999999999247,52.96296296296444,2.0,1.4703703703703557
C2,londres,lo,1,2020-01-21 09:40:00,2020-01-21 08:40:00,1.10905,1.10864,0.00041000000000002146,1.1098700000000001,0,4.100000000000215,34.878048780485976,-1.0,-1.3487804878048597
C1,londres,lo,1,2020-01-21 10:05:00,2020-01-21 09:05:00,1.10904,1.10885,0.0001900000000001345,1.1094200000000003,0,1.900000000001345,75.26315789468356,-1.0,-1.7526315789468356
C2,londres,lo,1,2020-01-21 10:40:00,2020-01-21 09:40:00,1.10918,1.10885,0.0003300000000001635,1.1098400000000004,1,3.300000000001635,43.33333333331186,2.0,1.5666666666668814
C1,londres,lo,1,2020-01-21 10:35:00,2020-01-21 09:35:00,1.10907,1.10855,0.000520000000000076,1.1101100000000002,1,5.20000000000076,27.499999999995982,2.0,1.72500000000004
C2,londres,lo,1,2020-01-21 10:40:00,2020-01-21 09:40:00,1.10907,1.10855,0.000520000000000076,1.1101100000000002,1,5.20000000000076,27.499999999995982,2.0,1.72500000000004
C1,londres,hi,-1,2020-01-22 11:55:00,2020-01-22 10:55:00,1.10859,1.10947,0.0008799999999999919,1.10683,0,8.799999999999919,16.25000000000015,-1.0,-1.1625000000000014
