ts,R,equity,ano,plaza,riesgo_pips,motivo,dir
2021-05-26 12:10:00,-1.1463414634146265,6087.749705857901,2021,NY,8.20000000000043,SL,largo
2021-05-27 09:15:00,0.8651685393258177,6140.419001065883,2021,Londres,8.899999999998354,TP,largo
2021-05-27 13:50:00,0.9142857142857185,6196.559974789914,2021,NY,14.000000000000679,TP,largo
2021-05-28 06:40:00,0.8983050847457592,6252.223988122772,2021,Londres,11.799999999999589,TP,largo
2021-06-02 06:25:00,-1.1875000000000078,6177.978828263814,2021,Londres,6.399999999999739,SL,largo
2021-06-03 12:30:00,-1.127659574468093,6108.312258498285,2021,NY,9.399999999999409,SL,largo
2021-06-07 12:40:00,-1.2400000000000264,6032.569186492904,2021,NY,4.999999999999449,SL,corto
2021-06-10 12:35:00,-1.0428571428571443,5969.658107833764,2021,NY,27.999999999999137,SL,largo
2021-06-23 12:30:00,-1.1558441558441683,5900.65816347049,2021,NY,7.699999999999374,SL,corto
2021-06-24 06:20:00,0.9268292682926867,5955.3471903514355,2021,Londres,16.40000000000086,TP,largo
2021-06-25 15:55:00,-1.307692307692219,5877.469573246845,2021,NY,3.900000000001125,SL,largo
2021-06-28 07:25:00,0.8378378378378297,5926.713237238913,2021,Londres,7.399999999999629,TP,corto
2021-06-28 08:40:00,0.8651685393258514,5977.989295583566,2021,Londres,8.900000000000574,TP,largo
2021-07-01 08:15:00,-1.1935483870968233,5906.639100765307,2021,Londres,6.199999999998429,SL,largo
2021-07-02 06:20:00,-1.2553191489360658,5832.491929074856,2021,Londres,4.700000000001925,SL,largo
2021-07-05 09:20:00,-1.342857142857072,5754.169894598712,2021,Londres,3.5000000000007248,SL,corto
2021-07-05 14:20:00,0.7692307692307043,5798.432739941775,2021,NY,5.199999999998539,TP,largo
2021-07-07 08:15:00,0.8441558441558764,5847.380548785441,2021,Londres,7.7000000000015945,TP,corto
2021-07-07 12:25:00,0.8800000000000135,5898.837497614753,2021,NY,10.000000000001119,TP,corto
2021-07-07 12:55:00,0.9447004608294932,5954.563842638302,2021,NY,21.700000000000053,TP,corto
2021-07-09 14:55:00,-1.104347826086958,5888.804746289165,2021,NY,11.499999999999844,SL,corto
2021-07-15 08:05:00,-1.3243243243243406,5810.817872622091,2021,Londres,3.6999999999998145,SL,corto
2021-07-16 09:20:00,0.8235294117647095,5858.671666867214,2021,Londres,6.800000000000139,TP,corto
2021-07-20 14:15:00,-1.0975609756097509,5794.369172962574,2021,NY,12.300000000000644,SL,largo
2021-07-20 15:30:00,0.8918918918918866,5846.048681802511,2021,NY,11.099999999999444,TP,largo
2021-07-21 07:15:00,-1.2608695652174453,5772.337633205867,2021,Londres,4.599999999999049,SL,largo
2021-07-21 08:30:00,0.9285714285714339,5825.937911228493,2021,Londres,16.80000000000126,TP,largo
2021-07-21 15:30:00,-1.1395348837209167,5759.5493164261225,2021,NY,8.60000000000083,SL,corto
2021-07-22 14:45:00,-1.1061946902654796,5695.837487704594,2021,NY,11.300000000000754,SL,largo
2021-07-23 14:45:00,0.8749999999999806,5745.676065722008,2021,NY,9.599999999998499,TP,largo
2021-07-29 15:20:00,-1.3870967741935079,5665.97797835877,2021,NY,3.1000000000003247,SL,corto
2021-07-30 12:45:00,0.9310344827586237,5718.7301871228,2021,NY,17.400000000000748,TP,corto
2021-08-04 15:50:00,-1.151898734177202,5652.856206486323,2021,NY,7.900000000000684,SL,largo
2021-08-05 06:20:00,-1.153846153846153,5587.630942565327,2021,Londres,7.800000000000029,SL,largo
2021-08-09 08:20:00,0.8666666666666519,5636.057077400893,2021,Londres,8.999999999999009,TP,largo
2021-08-09 14:35:00,-1.1714285714285901,5570.034694494196,2021,NY,6.999999999999229,SL,largo
2021-08-09 15:40:00,-1.0944881889763867,5509.07132264107,2021,NY,12.699999999998823,SL,largo
2021-08-10 06:35:00,-1.1263157894736833,5447.021782480797,2021,Londres,9.500000000000064,SL,largo
2021-08-11 06:45:00,0.707317073170747,5485.549497527613,2021,Londres,4.100000000000215,TP,largo
2021-08-11 12:10:00,0.80327868852459,5529.61374758972,2021,NY,6.099999999999994,TP,largo
2021-08-11 12:30:00,0.051282051282058774,5532.449446947459,2021,NY,23.400000000000087,tiempo,largo
2021-08-18 14:55:00,-1.2000000000000222,5466.060053584089,2021,NY,5.999999999999339,SL,largo
2021-08-19 14:20:00,-1.1739130434782408,5401.893261650712,2021,NY,6.900000000000794,SL,largo
2021-08-20 08:45:00,0.599999999999956,5434.304621220614,2021,Londres,2.9999999999996696,TP,largo
2021-08-20 08:55:00,0.7272727272727247,5473.826836647673,2021,Londres,4.3999999999999595,TP,largo
2021-08-20 12:45:00,-1.122448979591839,5412.385923175098,2021,NY,9.799999999999809,SL,largo
2021-08-25 12:50:00,0.8666666666666519,5459.293267842615,2021,NY,8.999999999999009,TP,largo
2021-08-26 12:35:00,0.9090909090909083,5508.923206641184,2021,NY,13.199999999999878,TP,corto
2021-08-27 13:45:00,0.9569892473118257,5561.643009371406,2021,NY,27.89999999999848,TP,largo
2021-08-27 14:00:00,0.3519061583577767,5581.214773627259,2021,NY,34.09999999999913,tiempo,largo
2021-09-01 06:20:00,0.7692307692308029,5624.147194962856,2021,Londres,5.20000000000076,TP,largo
2021-09-02 15:15:00,-1.153846153846153,5559.253188867131,2021,NY,7.800000000000029,SL,corto
2021-09-07 12:25:00,-1.2222222222222285,5491.306761003199,2021,NY,5.399999999999849,SL,largo
2021-09-09 14:05:00,-1.2105263157894888,5424.833047580529,2021,NY,5.699999999999594,SL,largo
2021-09-10 12:45:00,0.8378378378378297,5470.28435149269,2021,NY,7.399999999999629,TP,corto
2021-09-15 12:45:00,0.9368421052631509,5521.532278575094,2021,NY,18.999999999997907,TP,corto
2021-09-21 14:25:00,-1.2399999999999198,5453.065278320767,2021,NY,5.00000000000167,SL,largo
2021-09-21 15:55:00,0.8867924528301953,5501.422649656819,2021,NY,10.600000000000609,TP,largo
2021-09-22 13:35:00,-1.1199999999999866,5439.806715980663,2021,NY,10.000000000001119,SL,corto
2021-09-23 15:40:00,0.9117647058823548,5489.404953685193,2021,NY,13.600000000000279,TP,corto
2021-10-04 06:55:00,0.6470588235294189,5524.924632797274,2021,Londres,3.4000000000000696,TP,corto
2021-10-04 07:30:00,-1.127659574468093,5462.622291193389,2021,Londres,9.399999999999409,SL,corto
2021-10-05 13:45:00,-1.1518987341772446,5399.698414168249,2021,NY,7.899999999998464,SL,largo
2021-10-05 14:40:00,0.8888888888888858,5447.6957334053,2021,NY,10.799999999999699,TP,largo
2021-10-08 13:10:00,0.8441558441558314,5493.682775310669,2021,NY,7.699999999999374,TP,corto
2021-10-08 14:20:00,-1.199999999999948,5427.758582006944,2021,NY,6.00000000000156,SL,corto
2021-10-13 14:45:00,-1.2448979591837337,5360.18852619012,2021,NY,4.899999999998794,SL,corto
2021-10-13 15:50:00,-1.1739130434782967,5297.264573926147,2021,NY,6.899999999998574,SL,corto
2021-10-14 06:45:00,-1.2666666666666302,5230.165889323084,2021,Londres,4.500000000000615,SL,corto
2021-10-14 15:55:00,0.842105263157868,5274.209391548961,2021,NY,7.599999999998719,TP,largo
2021-10-18 13:45:00,0.8762886597938037,5320.426690340885,2021,NY,9.699999999999154,TP,corto
2021-10-22 15:10:00,0.9069767441860476,5368.681723113745,2021,NY,12.900000000000134,TP,corto
2021-10-22 15:30:00,-1.0446096654275117,5312.599954928059,2021,NY,26.89999999999859,SL,corto
2021-10-26 12:20:00,-1.2264150943395622,5247.445427178945,2021,NY,5.300000000001415,SL,corto
2021-10-26 13:45:00,-1.146341463414666,5187.2917844771355,2021,NY,8.199999999998209,SL,largo
2021-10-28 12:50:00,0.9718969555035127,5237.706915403553,2021,NY,42.69999999999996,TP,largo
2021-11-01 07:05:00,-1.159999999999994,5176.949515184871,2021,Londres,7.500000000000284,SL,corto
2021-11-03 15:40:00,-1.151898734177202,5117.316299250464,2021,NY,7.900000000000684,SL,corto
2021-11-05 08:40:00,-1.226415094339657,5054.556759731353,2021,Londres,5.299999999999194,SL,largo
2021-11-08 07:05:00,0.6666666666667944,5088.253804796235,2021,Londres,3.60000000000138,TP,corto
2021-11-08 09:15:00,0.8235294117647095,5130.15707142397,2021,Londres,6.800000000000139,TP,corto
2021-11-08 10:15:00,0.7692307692307043,5169.6198181272275,2021,Londres,5.199999999998539,TP,largo
2021-11-08 10:40:00,0.9016393442622951,5216.231144356244,2021,Londres,12.199999999999989,TP,largo
2021-11-08 14:40:00,-1.1481481481481521,5156.34108306919,2021,NY,8.099999999999774,SL,corto
2021-11-12 16:35:00,0.8709677419354974,5201.25115056689,2021,NY,9.300000000000974,TP,largo
2021-11-15 16:55:00,-1.1739130434782408,5140.192984886324,2021,NY,6.900000000000794,SL,largo
2021-11-16 10:55:00,0.8938053097344996,5186.136302715839,2021,Londres,11.299999999998533,TP,largo
2021-11-17 15:15:00,-1.1481481481481521,5126.591774795767,2021,NY,8.099999999999774,SL,largo
2021-11-23 10:15:00,0.7966101694915566,5167.430726222108,2021,Londres,5.9000000000009045,TP,corto
2021-11-23 10:45:00,0.8823529411764731,5213.025703218185,2021,Londres,10.200000000000209,TP,corto
2021-11-24 08:05:00,0.830985915492955,5256.345212582956,2021,Londres,7.099999999999884,TP,largo
2021-11-30 16:55:00,0.9775700934579438,5307.729671390075,2021,NY,53.49999999999966,TP,largo
2021-12-02 16:25:00,-1.1395348837209527,5247.246240250978,2021,NY,8.599999999998609,SL,largo
2021-12-07 08:05:00,0.7692307692307043,5287.60967286829,2021,Londres,5.199999999998539,TP,corto
2021-12-07 09:30:00,-1.08333333333334,5230.3272347455495,2021,Londres,14.399999999998858,SL,largo
2021-12-08 10:40:00,0.8399999999999587,5274.26198351741,2021,Londres,7.499999999998064,TP,corto
2021-12-08 16:20:00,0.8181818181817859,5317.415036109824,2021,NY,6.599999999998829,TP,corto
2021-12-09 16:40:00,0.7272727272725871,5356.087145463342,2021,NY,4.399999999997739,TP,largo
2021-12-10 10:20:00,-1.3157894736841715,5285.612314601984,2021,Londres,3.8000000000004697,SL,largo
2021-12-13 09:40:00,0.8421052631579142,5330.122734093369,2021,Londres,7.600000000000939,TP,largo
2021-12-21 15:25:00,-1.0736196319018396,5272.89749001568,2021,NY,16.300000000000203,SL,largo
