R,neta,mot,rgo,hniv,aliU,aliM,dob,i
2.0,1.9150478227291656,TP,16.833000000000542,11,True,False,True,EURUSD
2.0,1.799438990182318,TP,7.129999999999637,12,False,True,True,EURUSD
2.0,1.8462365591397643,TP,9.299999999998754,12,False,True,False,EURUSD
-1.0,-1.2165682265636641,SL,6.603000000000581,2,False,False,True,EURUSD
-1.0,-1.2165682265636641,SL,6.603000000000581,23,False,False,True,EURUSD
-1.0,-1.1624261699227618,SL,8.804000000000034,2,False,False,True,EURUSD
-1.0,-1.1837810050122084,SL,7.781000000000038,23,False,False,True,EURUSD
-1.0,-1.2507012622721025,SL,5.703999999999709,11,True,False,True,EURUSD
-1.0,-1.1406372934697186,SL,10.167999999999289,11,False,False,True,EURUSD
2.0,1.6478699827628358,TP,4.060999999999648,23,True,False,True,EURUSD
-1.0,-1.2847471127041603,SL,5.021999999998972,2,False,False,True,EURUSD
-1.0,-1.2847471127041603,SL,5.021999999998972,23,False,False,True,EURUSD
-1.0,-1.2847471127041603,SL,5.021999999998972,23,False,False,True,EURUSD
2.0,1.5767978691919322,TP,3.3789999999989107,2,False,True,True,EURUSD
2.0,1.8725717340937402,TP,11.221999999999621,23,True,False,True,EURUSD
2.0,1.8725717340937402,TP,11.221999999999621,23,True,False,True,EURUSD
-1.0,-1.1310483870967925,SL,10.911999999998478,16,False,False,False,EURUSD
2.0,1.7658424758473745,TP,6.1069999999996405,23,False,True,False,EURUSD
2.0,1.7681958177986825,TP,6.169000000000313,16,True,False,True,EURUSD
2.0,1.5564516129034556,TP,3.22400000000167,22,True,False,True,EURUSD
2.0,1.8093841642229107,TP,7.502000000001452,16,False,False,True,EURUSD
-1.0,-1.1036607466473294,SL,13.79500000000089,3,False,False,True,EURUSD
2.0,1.6057347670250222,TP,3.6269999999993807,3,True,False,True,EURUSD
2.0,1.5340501792114678,TP,3.0689999999999884,3,False,False,True,EURUSD
-1.0,-1.0701049122462936,SL,20.39800000000147,23,True,False,True,EURUSD
2.0,1.5477545857053925,TP,3.1620000000009973,23,False,False,True,EURUSD
2.0,1.8725717340937402,TP,11.221999999999621,16,True,False,True,EURUSD
2.0,1.602335928809683,TP,3.5959999999990444,16,False,True,False,EURUSD
2.0,1.8191018342821317,TP,7.905000000001383,16,False,True,True,EURUSD
2.0,1.8191018342821317,TP,7.905000000001383,21,False,True,True,EURUSD
-1.0,-1.7096774193549598,SL,2.014999999999656,21,False,False,False,EURUSD
-1.0,-1.1914067728550677,SL,7.470999999998895,22,True,False,True,EURUSD
-1.0,-1.134880211280896,SL,10.601999999999556,22,False,False,True,EURUSD
2.0,1.8610571317528262,TP,10.292000000000634,2,False,False,True,EURUSD
-1.0,-1.1882817643186248,SL,7.5950000000002404,2,False,False,False,EURUSD
-1.0,-1.4393241167435005,SL,3.254999999999786,22,False,False,True,EURUSD
-1.0,-1.2745775729647346,SL,5.207999999998769,22,False,False,False,EURUSD
-1.0,-1.175395559916603,SL,8.152999999999633,21,True,False,True,EURUSD
-1.0,-1.1502574340653393,SL,9.517000000001108,21,False,False,True,EURUSD
-1.0,-1.512544802867534,SL,2.789999999999182,23,False,False,False,EURUSD
2.0,1.6309677419354696,TP,3.874999999999851,23,False,True,True,EURUSD
-1.0,-1.69892473118204,SL,2.0460000000022127,2,False,False,False,EURUSD
-1.0,-1.4855687606114292,SL,2.944999999998643,2,True,False,True,EURUSD
-1.0,-1.269760422561792,SL,5.300999999999778,21,False,False,False,EURUSD
2.0,1.9249934434828233,TP,19.06500000000033,19,False,False,True,EURUSD
-1.0,-1.158519011196095,SL,9.021000000000168,19,True,False,True,EURUSD
2.0,1.8304079696394775,TP,8.43200000000044,12,False,False,True,EURUSD
-1.0,-1.096706566578748,SL,14.78700000000055,12,False,False,True,EURUSD
2.0,1.6557534906115132,TP,4.154000000000657,19,False,True,False,EURUSD
2.0,1.8176718092566786,TP,7.8430000000007105,5,False,False,False,EURUSD
-1.0,-1.1938194632691759,SL,7.378000000000107,5,False,False,True,EURUSD
-1.0,-1.3632207264414047,SL,3.9370000000005234,5,False,False,True,EURUSD
-1.0,-1.145059849868122,SL,9.858000000000366,23,False,True,True,EURUSD
-1.0,-1.145059849868122,SL,9.858000000000366,23,False,True,True,EURUSD
-1.0,-1.2341575241526255,SL,6.1069999999996405,16,False,False,True,EURUSD
2.0,1.82258064516126,TP,8.059999999998624,23,False,True,True,EURUSD
2.0,1.82258064516126,TP,8.059999999998624,23,False,True,True,EURUSD
-1.0,-1.2250196695515303,SL,6.355000000000111,5,True,False,True,EURUSD
2.0,1.7559310462536848,TP,5.859000000001391,14,True,False,True,EURUSD
-1.0,-1.3548387096774799,SL,4.029999999999312,0,False,False,True,EURUSD
2.0,1.6531651709918362,TP,4.1229999999981,2,False,True,True,EURUSD
-1.0,-1.069681317610375,SL,20.521999999998375,14,False,False,True,EURUSD
-1.0,-1.0847960151802725,SL,16.863999999998658,21,False,True,True,EURUSD
2.0,1.843630399125193,TP,9.144999999999293,11,False,True,True,EURUSD
2.0,1.8037062457103394,TP,7.284999999999098,21,False,False,True,EURUSD
2.0,1.781378994037606,TP,6.540999999999908,21,False,False,True,EURUSD
-1.0,-1.1114227832320456,SL,12.833999999999346,23,False,False,True,EURUSD
2.0,1.7533206831118906,TP,5.796999999998498,14,False,False,False,EURUSD
-1.0,-1.1130613535736915,SL,12.647999999999548,23,False,True,True,EURUSD
-1.0,-1.242784380305623,SL,5.889999999999507,23,False,False,True,EURUSD
2.0,1.8643263757115607,TP,10.539999999998884,16,True,False,True,EURUSD
2.0,1.709880300263756,TP,4.929000000000183,16,False,False,True,EURUSD
-1.0,-1.1147488364628493,SL,12.461999999999751,17,False,True,False,EURUSD
2.0,1.8678251224697253,TP,10.81899999999969,23,False,False,True,EURUSD
-1.0,-1.1497695852534684,SL,9.547999999999224,23,False,True,False,EURUSD
2.0,1.6608159392788657,TP,4.215999999999109,23,False,False,True,EURUSD
-1.0,-1.158519011196095,SL,9.021000000000168,22,False,False,True,EURUSD
-1.0,-1.0835670874240342,SL,17.111999999999128,22,False,False,True,EURUSD
-1.0,-1.0835670874240342,SL,17.111999999999128,13,False,False,True,EURUSD
2.0,1.8643263757115607,TP,10.539999999998884,17,False,True,False,EURUSD
-1.0,-1.17741935483874,SL,8.059999999998624,17,False,False,True,EURUSD
2.0,1.8511966701352742,TP,9.609999999999896,17,False,False,True,EURUSD
2.0,1.9211469534050238,TP,18.135000000001344,8,True,False,True,EURUSD
-1.0,-1.0983561455395827,SL,14.53900000000008,8,False,False,True,EURUSD
-1.0,-1.1569014702655054,SL,9.114000000001177,8,False,False,False,EURUSD
-1.0,-1.0723025583982233,SL,19.777999999999185,8,True,False,True,EURUSD
-1.0,-1.0723025583982233,SL,19.777999999999185,17,True,False,True,EURUSD
-1.0,-1.1072768192047988,SL,13.330000000000286,17,False,False,False,EURUSD
2.0,1.6904091794760128,TP,4.6189999999990405,23,False,True,True,EURUSD
-1.0,-1.2635944700460284,SL,5.425000000001123,23,False,False,False,EURUSD
-1.0,-1.2635944700460284,SL,5.425000000001123,22,False,False,False,EURUSD
-1.0,-1.0835670874240342,SL,17.111999999999128,22,False,False,True,EURUSD
-1.0,-1.0867087072520059,SL,16.491999999999063,23,True,False,True,EURUSD
2.0,1.7976796830786983,TP,7.0680000000011844,23,False,True,True,EURUSD
2.0,1.8037062457103394,TP,7.284999999999098,23,False,False,False,EURUSD
-1.0,-1.106288092760522,SL,13.45399999999941,1,True,False,True,EURUSD
2.0,1.8693228547930307,TP,10.943000000001035,20,False,True,True,EURUSD
2.0,1.8725717340937402,TP,11.221999999999621,1,False,False,True,EURUSD
-1.0,-1.105077522227929,SL,13.609000000001092,10,False,False,False,EURUSD
-1.0,-1.1306771452069693,SL,10.943000000001035,10,False,True,True,EURUSD
-1.0,-1.2635944700460284,SL,5.425000000001123,23,False,False,False,EURUSD
-1.0,-1.187516391292931,SL,7.626000000000577,23,False,True,True,EURUSD
2.0,1.8487572712850413,TP,9.455000000000435,10,False,True,True,EURUSD
-1.0,-1.1368814013592408,SL,10.447000000000095,22,False,False,True,EURUSD
2.0,1.7465437788018,TP,5.641999999999037,20,False,False,True,EURUSD
2.0,1.6751476601545585,TP,4.402000000001127,20,False,True,False,EURUSD
-1.0,-1.1837810050122084,SL,7.781000000000038,10,False,False,False,EURUSD
2.0,1.7043010752689025,TP,4.836000000001395,10,True,False,True,EURUSD
-1.0,-1.0979384973631892,SL,14.601000000000752,23,False,False,False,EURUSD
-1.0,-1.1794903978913054,SL,7.966999999999835,23,False,False,False,EURUSD
-1.0,-1.1108870967741935,SL,12.896000000000019,0,False,True,True,EURUSD
-1.0,-1.1108870967741935,SL,12.896000000000019,17,False,True,True,EURUSD
-1.0,-1.1845161290322652,SL,7.749999999999702,23,False,False,False,EURUSD
2.0,1.8729227761486071,TP,11.253000000002178,23,False,True,True,EURUSD
2.0,1.8729227761486071,TP,11.253000000002178,0,False,True,True,EURUSD
2.0,1.8729227761486071,TP,11.253000000002178,17,False,True,True,EURUSD
-1.0,-1.2106348504934337,SL,6.789000000000378,23,True,False,True,EURUSD
2.0,1.8562958496633382,TP,9.950999999999155,23,False,False,True,EURUSD
2.0,1.8562958496633382,TP,9.950999999999155,17,False,False,True,EURUSD
-1.0,-1.2155562255050167,SL,6.6339999999986965,19,False,True,True,EURUSD
2.0,1.841480988803905,TP,9.021000000000168,0,False,True,True,EURUSD
-1.0,-1.1547954102619937,SL,9.237999999998081,16,False,False,True,EURUSD
-1.0,-1.1446051167964626,SL,9.888999999998482,19,False,False,True,EURUSD
-1.0,-1.1446051167964626,SL,9.888999999998482,16,False,False,True,EURUSD
