dia,cierre_min,crt_h4_cer,crt_h4_viva,pos_h4,crt_m15,crt_m15_viva
2025-06-13,505,0,0,0.5267665952890647,0,0
2025-06-13,510,0,0,0.394004282655264,0,1
2025-06-13,515,0,0,0.5610278372591208,1,0
2025-06-13,520,0,0,0.4860813704496826,1,0
2025-06-13,525,0,0,0.3704496788008623,1,0
2025-06-13,530,0,0,0.4646680942184213,0,0
2025-06-13,535,0,0,0.4839400428265422,0,0
2025-06-13,540,0,0,0.6466809421841657,0,0
2025-06-13,545,0,0,0.7858672376873875,0,0
2025-06-13,550,0,0,0.8715203426124325,0,0
2025-06-13,555,0,0,0.9164882226980954,0,0
2025-06-13,560,0,0,0.7858672376873875,0,0
2025-06-13,565,0,-1,0.6980728051392022,0,0
2025-06-13,570,0,-1,0.7730192719485928,0,0
2025-06-13,575,0,0,0.8715203426124325,0,0
2025-06-13,580,0,0,0.8779443254818061,0,-1
2025-06-13,585,0,-1,0.7516059957173316,0,0
2025-06-13,590,0,-1,0.7387580299785843,0,0
2025-06-13,595,0,-1,0.6102783725910168,0,0
2025-06-13,600,0,-1,0.5096359743040842,0,0
2025-06-13,605,0,-1,0.5267665952890647,0,1
2025-06-13,610,0,-1,0.5032119914347106,0,0
2025-06-13,615,0,-1,0.631691648822278,0,1
2025-06-13,620,0,-1,0.5160599571734579,1,-1
2025-06-13,625,0,-1,0.6980728051392022,1,0
2025-06-13,630,0,-1,0.6959314775160618,1,0
2025-06-13,635,0,-1,0.5952890792291292,0,0
2025-06-13,640,0,-1,0.3918629550321236,0,0
2025-06-13,645,0,0,0.33190578158457307,0,0
2025-06-13,650,0,-1,0.42826552462527245,0,0
2025-06-13,655,0,-1,0.42826552462527245,0,0
2025-06-13,660,0,0,0.35546038543897474,0,0
2025-06-13,665,0,-1,0.3918629550321236,0,0
2025-06-13,670,0,-1,0.47537473233402816,0,0
2025-06-13,675,0,0,0.3725910064240027,0,0
2025-06-13,680,0,-1,0.4325481798715057,0,0
2025-06-13,685,0,-1,0.40471092077087084,0,0
2025-06-13,690,0,-1,0.38329764453960957,0,0
2025-06-27,480,0,0,0.17073170731709958,0,0
