fam,N,S,per,etiq,n,R,t,sharpe,lo,hi,tb
B,120,5.0,ajuste,real,812,0.0006839807219439969,0.15115713418363838,0.08420752545031421,-0.0068782609830961424,0.009523529328792274,0.16309933022426848
B,120,5.0,fuera,real,536,-0.0035271851156996174,-0.5615604044942555,-0.3850475405560997,-0.014354596117905601,0.008836559055209735,-0.607477293939308
B,250,1.0,ajuste,real,812,0.008631593647104668,0.4803461783494869,0.2675941380919873,-0.026594599063365504,0.03589092270807233,0.5422146639082522
B,250,1.0,fuera,real,536,-0.0031111742377056117,-0.10917541775993019,-0.07485877879068996,-0.05252790671197149,0.045664989591273124,-0.12470083110657612
B,250,2.0,ajuste,real,812,0.003295487979406457,0.3538137747373511,0.19710470565465502,-0.01599147179798992,0.019523570757618673,0.3692012175509683
B,250,2.0,fuera,real,536,-0.008033301988936339,-0.5286027255727965,-0.36244930693851707,-0.036524730279041656,0.015207142459890551,-0.6160290927744485
B,250,3.0,ajuste,real,812,0.002196991986270973,0.3538137747373513,0.19710470565465515,-0.010498181817534044,0.01248930514189666,0.3765619120431848
B,250,3.0,fuera,real,536,-0.007661437735931652,-0.7298126368576572,-0.5004137731930803,-0.028243068298524868,0.01067636276397878,-0.7830830035228585
B,250,5.0,ajuste,real,812,0.0013181951917625846,0.35381377473735154,0.19710470565465527,-0.0062591792476709915,0.007396181097161908,0.37537791710869367
B,250,5.0,fuera,real,536,-0.004403530740116048,-0.7011936703396566,-0.4807904831911119,-0.016627580993595882,0.00585925745825318,-0.7640484060981773
C,5,1.0,ajuste,real,812,-0.005932675709644996,-0.2567965614661772,-0.1430577729724976,-0.047200225288407095,0.035067029265846886,-0.2828146572851995
C,5,1.0,fuera,real,536,0.024240626231721685,0.80729819675106,0.5535436306879962,-0.02707065340544865,0.06814365713395365,0.9866029964659857
C,5,2.0,ajuste,real,812,-0.005353556356301666,-0.44023033578523046,-0.24524616323830645,-0.030640790923431485,0.017756218211337712,-0.4327624298885622
C,5,2.0,fuera,real,536,0.013711438327185018,0.8871853388591338,0.6083201914009482,-0.009627502319271395,0.03166074425374883,1.2767839845160882
C,5,3.0,ajuste,real,812,-0.003234064897204974,-0.3978091159276564,-0.22161389493630057,-0.019018775188745615,0.012587471778323985,-0.39460214838689867
C,5,3.0,fuera,real,536,0.008106065047204883,0.7736915714357679,0.5305004312022747,-0.008350357178247886,0.02142759400894964,1.0809409434320405
C,5,5.0,ajuste,real,812,-0.001838538197080419,-0.3780315365692667,-0.21059608207446162,-0.011254908339464484,0.007560269024567269,-0.3818811421923386
C,5,5.0,fuera,real,536,0.004972555506287317,0.7917527890875393,0.5428845440788337,-0.004045862589660907,0.011972897960111714,1.1816533162452318
C,10,1.0,ajuste,real,812,-0.02797635810668298,-1.2041999504965655,-0.6708429511207467,-0.06806112626793503,0.008536546460808515,-1.4088341680503964
C,10,1.0,fuera,real,536,0.014337045844719757,0.4848283915350602,0.3324343708322376,-0.028619713693451294,0.059134214542132496,0.6343550471969487
C,10,2.0,ajuste,real,812,-0.016187971963606,-1.3297518979081722,-0.7407861851209038,-0.03888688602109999,0.0035842111531854026,-1.45371166673666
C,10,2.0,fuera,real,536,0.005879209917117091,0.381661168425129,0.2616952567377221,-0.014095509189377511,0.02589709392687279,0.5611948349690522
C,10,3.0,ajuste,real,812,-0.01032044165455634,-1.2703842024953385,-0.7077132722914686,-0.024761770032216628,0.0027157369394081895,-1.429738603872341
C,10,3.0,fuera,real,536,0.002949159958071626,0.2826267879304519,0.193789926634694,-0.011314880235752067,0.016721169349595888,0.4162253085372225
C,10,5.0,ajuste,real,812,-0.0060903642514912384,-1.253145387840618,-0.6981097697402292,-0.014776261239496269,0.001964924007962617,-1.4544093374126192
C,10,5.0,fuera,real,536,0.0016798237442472773,0.2673506174737929,0.18331544906046102,-0.007102953726179452,0.010049464012396115,0.39366380927757566
C,20,1.0,ajuste,real,812,0.006912203103614303,0.2949895416777674,0.1643345481016397,-0.034256382471216866,0.05278994994304279,0.30466984648192097
C,20,1.0,fuera,real,536,-0.0017705628282458099,-0.06330586844133033,-0.04340720740105459,-0.03867492632210358,0.03922126472451384,-0.08946793243695404
C,20,2.0,ajuste,real,812,-0.00020391911739988059,-0.01669782107078091,-0.00930212259167569,-0.02068390660087592,0.025694576409500753,-0.01757233134981524
C,20,2.0,fuera,real,536,-0.005878665816874779,-0.39301049501521196,-0.2694771983694777,-0.02687817633800735,0.014634112136321653,-0.5523130527799629
C,20,3.0,ajuste,real,812,0.0005301231251511407,0.06532700367653782,0.036392760119424605,-0.012302266872657367,0.01623482254684533,0.07128952973465319
C,20,3.0,fuera,real,536,-0.0067419105477814325,-0.6469644126596903,-0.44360687457351455,-0.02207843031709454,0.008017521172060173,-0.8744794704337517
C,20,5.0,ajuste,real,812,0.0003180738750906849,0.06532700367653792,0.03639276011942466,-0.007356451447133164,0.010097368518930212,0.07051800766077639
C,20,5.0,fuera,real,536,-0.004112612459641178,-0.6544087080976604,-0.44871123668064156,-0.012959300237361525,0.0043513095405282596,-0.9295923233952033
C,40,1.0,ajuste,real,812,0.005056313741530572,0.223947977561067,0.12475828628180748,-0.04211222191017235,0.06467349772759817,0.1849658378350071
C,40,1.0,fuera,real,536,0.029927420746646043,1.0926232524545596,0.7491836902050282,-0.014164028574067056,0.07264528830492227,1.3649718054982032
C,40,2.0,ajuste,real,812,0.00036210991991798787,0.030887936846243275,0.017207237634763697,-0.02290541296174424,0.027725293851551557,0.027376127010232735
C,40,2.0,fuera,real,536,0.008358548951547454,0.5603346661562028,0.3842070832719763,-0.017364891858078296,0.029845870807267652,0.7085220496329145
C,40,3.0,ajuste,real,812,0.0003076182586549696,0.039380180584088875,0.021938147853107267,-0.01574886409341991,0.018195675642293768,0.034882542217766696
C,40,3.0,fuera,real,536,0.0025827060309027016,0.24721607357949393,0.1695097096517133,-0.016949839495548135,0.018809404668562554,0.2832242390456828
C,40,5.0,ajuste,real,812,0.00018457095519298293,0.03938018058408913,0.021938147853107413,-0.00944394969002524,0.012283751269458229,0.03394969821636387
C,40,5.0,fuera,real,536,0.0015930893149190245,0.2536322498585864,0.1739091168682244,-0.009689636076803735,0.011331296245910416,0.2963942058433103
C,60,1.0,ajuste,real,812,-0.02394689522431862,-1.0652731820162837,-0.5934487913563737,-0.05903027637380907,0.02270421917754431,-1.1409460431582483
